Transaction_ID,Customer_ID,Amount,Payment_Method,Bank_Name,Response_Code,Response_Message,Retry_Count,Transaction_Time,Retry_Time,Final_Status,Failure_Type,Revenue_Lost,Day_of_Week,Hour,Month,Week_Number,Year,Retry_Delay_Minutes,Days_Since_Transaction
TXN100011,C1769,5987.0,wallet,indusind,12.0,expired card,2.0,2026-03-24 19:32:00,2026-03-24 19:45:00,success,permanent,0,Tuesday,19,March,13,2026,13.0,131
TXN100012,C7949,96298.0,credit card,bob,8.0,response timeout,1.0,2026-05-14 10:53:00,2026-01-05 19:38:00,success,permanent,0,Thursday,10,May,20,2026,-185235.0,80
TXN100013,C3433,77316.0,credit card,axis,54.0,insufficient funds,3.0,2026-02-09 16:51:00,2026-02-09 17:18:00,success,permanent,0,Monday,16,February,7,2026,27.0,174
TXN100014,C6311,10415.0,upi,bob,55.0,card declined,0.0,2026-05-03 03:47:00,2026-01-05 19:38:00,success,permanent,0,Sunday,3,May,18,2026,-168969.0,92
TXN100015,C6051,11047.0,debit card,pnb,0.0,response timeout,2.0,2026-05-27 03:00:00,2026-05-27 03:19:00,success,permanent,0,Wednesday,3,May,22,2026,19.0,68
TXN100016,C7420,2959.0,net banking,yes bank,51.0,insufficient funds,3.0,2026-10-26 12:24:00,2026-10-26 12:53:00,success,permanent,0,Monday,12,October,44,2026,29.0,-85
TXN100017,C2184,51370.0,net banking,bob,54.0,invalid amount,3.0,2026-11-28 07:23:00,2026-11-28 07:35:00,success,permanent,0,Saturday,7,November,48,2026,12.0,-117
TXN100018,C5555,50960.0,credit card,pnb,96.0,approved,4.0,2026-10-03 14:19:00,2026-10-03 15:02:00,success,permanent,0,Saturday,14,October,40,2026,43.0,-62
TXN100019,C4385,38747.0,upi,hdfc,96.0,expired card,4.0,2026-11-17 23:41:00,2026-11-18 00:19:00,success,permanent,0,Tuesday,23,November,47,2026,38.0,-107
TXN100020,C7396,36077.0,wallet,canara,0.0,expired card,2.0,2026-10-07 22:57:00,2026-10-07 23:09:00,failed,temporary,0,Wednesday,22,October,41,2026,12.0,-66
TXN100021,C9666,86461.0,upi,bob,96.0,invalid amount,2.0,2026-08-14 08:31:00,2026-08-14 09:11:00,success,permanent,0,Friday,8,August,33,2026,40.0,-11
TXN100022,C3558,13963.0,debit card,pnb,12.0,response timeout,2.0,2026-04-16 02:37:00,2026-01-05 19:38:00,success,permanent,0,Thursday,2,April,16,2026,-144419.0,109
TXN100023,C8849,41435.0,upi,canara,12.0,insufficient funds,1.0,2026-12-19 12:37:00,2026-12-19 13:25:00,success,permanent,0,Saturday,12,December,51,2026,48.0,-139
TXN100024,C3047,59096.0,credit card,axis,8.0,card declined,3.0,2026-01-09 00:12:00,2026-01-05 19:38:00,success,permanent,0,Friday,0,January,2,2026,-4594.0,206
TXN100025,C3747,91445.0,credit card,axis,54.0,expired card,1.0,2026-08-17 20:10:00,2026-08-17 20:12:00,success,permanent,0,Monday,20,August,34,2026,2.0,-15
TXN100026,C1189,89501.0,net banking,indusind,54.0,insufficient funds,4.0,2026-11-29 22:33:00,2026-11-29 22:59:00,success,permanent,0,Sunday,22,November,48,2026,26.0,-119
TXN100027,C3734,87069.0,wallet,axis,68.0,network error,3.0,2026-07-12 20:04:00,2026-07-12 20:49:00,success,permanent,0,Sunday,20,July,28,2026,45.0,21
TXN100028,C4005,67127.0,credit card,hdfc,68.0,insufficient funds,3.0,2026-04-14 18:20:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,18,April,16,2026,-142482.0,110
TXN100029,C5658,28990.0,credit card,bob,51.0,card declined,0.0,2026-08-12 04:03:00,2026-01-05 19:38:00,success,permanent,0,Wednesday,4,August,33,2026,-314425.0,-9
TXN100030,C2899,54306.0,debit card,icici,0.0,network error,3.0,2026-09-01 01:01:00,2026-09-01 01:47:00,failed,permanent,54306,Tuesday,1,September,36,2026,46.0,-29
TXN100031,C8734,22820.0,credit card,axis,96.0,approved,1.0,2026-02-28 03:22:00,2026-02-28 03:38:00,success,permanent,0,Saturday,3,February,9,2026,16.0,156
TXN100032,C2267,42645.0,net banking,pnb,68.0,network error,2.0,2026-07-26 02:43:00,2026-07-26 03:41:00,success,permanent,0,Sunday,2,July,30,2026,58.0,8
TXN100033,C2528,93061.0,wallet,axis,8.0,approved,1.0,2026-02-23 04:01:00,2026-01-05 19:38:00,success,permanent,0,Monday,4,February,9,2026,-69623.0,161
TXN100034,C4556,70337.0,debit card,indusind,51.0,expired card,2.0,2026-12-15 13:21:00,2026-12-15 13:47:00,failed,temporary,0,Tuesday,13,December,51,2026,26.0,-135
TXN100035,C4890,88239.0,upi,hdfc,0.0,card declined,0.0,2026-07-10 22:50:00,2026-01-05 19:38:00,success,permanent,0,Friday,22,July,28,2026,-268032.0,23
TXN100036,C9838,87581.0,upi,axis,68.0,invalid amount,3.0,2026-01-24 19:29:00,2026-01-24 19:34:00,success,permanent,0,Saturday,19,January,4,2026,5.0,190
TXN100037,C6393,61022.0,upi,indusind,51.0,expired card,2.0,2026-12-05 02:51:00,2026-01-05 19:38:00,failed,unknown,0,Saturday,2,December,49,2026,-479953.0,-124
TXN100038,C9792,74592.0,upi,hdfc,12.0,network error,4.0,2026-04-08 11:33:00,2026-04-08 12:10:00,success,permanent,0,Wednesday,11,April,15,2026,37.0,116
TXN100039,C9433,20602.0,net banking,hdfc,55.0,approved,3.0,2026-09-18 14:06:00,2026-09-18 14:51:00,pending,permanent,0,Friday,14,September,38,2026,45.0,-47
TXN100040,C8513,85515.0,credit card,axis,54.0,expired card,0.0,2026-03-20 20:24:00,2026-01-05 19:38:00,success,permanent,0,Friday,20,March,12,2026,-106606.0,135
TXN100041,C3612,50105.0,debit card,axis,54.0,network error,1.0,2026-12-04 23:23:00,2026-12-04 23:38:00,success,permanent,0,Friday,23,December,49,2026,15.0,-124
TXN100042,C8041,50105.0,debit card,canara,12.0,invalid amount,3.0,2026-12-17 06:09:00,2026-12-17 06:32:00,failed,temporary,0,Thursday,6,December,51,2026,23.0,-136
TXN100043,C7235,57846.0,upi,axis,68.0,invalid amount,0.0,2026-09-17 06:53:00,2026-01-05 19:38:00,success,permanent,0,Thursday,6,September,38,2026,-366435.0,-45
TXN100044,C6486,50562.0,credit card,axis,54.0,approved,3.0,2026-08-06 22:04:00,2026-08-06 22:25:00,success,permanent,0,Thursday,22,August,32,2026,21.0,-4
TXN100045,C8099,70267.0,credit card,axis,54.0,approved,3.0,2026-04-04 02:55:00,2026-04-04 03:29:00,success,permanent,0,Saturday,2,April,14,2026,34.0,121
TXN100046,C1775,50105.0,upi,hdfc,12.0,network error,4.0,2026-07-19 18:19:00,2026-07-19 18:46:00,success,permanent,0,Sunday,18,July,29,2026,27.0,14
TXN100047,C9226,50105.0,upi,hdfc,8.0,network error,4.0,2026-10-15 16:47:00,2026-10-15 17:07:00,success,permanent,0,Thursday,16,October,42,2026,20.0,-74
TXN100048,C4152,17756.0,debit card,hdfc,51.0,insufficient funds,2.0,2026-02-07 12:38:00,2026-02-07 13:16:00,success,permanent,0,Saturday,12,February,6,2026,38.0,176
TXN100049,C2585,34219.0,net banking,icici,8.0,invalid amount,4.0,2026-08-04 17:53:00,2026-08-04 18:21:00,success,permanent,0,Tuesday,17,August,32,2026,28.0,-2
TXN100050,C4943,30513.0,net banking,icici,68.0,approved,4.0,2026-06-17 10:25:00,2026-06-17 10:54:00,success,permanent,0,Wednesday,10,June,25,2026,29.0,46
TXN100051,C8555,78848.0,credit card,axis,96.0,system error,2.0,2026-05-05 08:03:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,8,May,19,2026,-172105.0,90
TXN100052,C4073,50105.0,upi,bob,68.0,system error,0.0,2026-06-01 11:38:00,2026-01-05 19:38:00,success,permanent,0,Monday,11,June,23,2026,-211200.0,62
TXN100053,C2021,7155.0,credit card,axis,54.0,network error,0.0,2026-10-24 08:48:00,2026-01-05 19:38:00,success,permanent,0,Saturday,8,October,43,2026,-419830.0,-82
TXN100054,C4843,79063.0,debit card,canara,8.0,system error,0.0,2026-12-30 06:47:00,2026-01-05 19:38:00,success,permanent,0,Wednesday,6,December,53,2026,-516189.0,-149
TXN100055,C8989,33789.0,net banking,yes bank,12.0,approved,3.0,2026-10-06 15:03:00,2026-10-06 15:08:00,failed,temporary,0,Tuesday,15,October,41,2026,5.0,-65
TXN100056,C7873,62187.0,credit card,hdfc,0.0,expired card,3.0,2026-11-12 01:52:00,2026-11-12 02:38:00,success,permanent,0,Thursday,1,November,46,2026,46.0,-101
TXN100057,C6675,72615.0,wallet,indusind,55.0,response timeout,0.0,2026-08-13 21:44:00,2026-01-05 19:38:00,success,permanent,0,Thursday,21,August,33,2026,-316926.0,-11
TXN100058,C1161,5281.0,net banking,axis,54.0,invalid amount,3.0,2026-02-25 13:14:00,2026-02-25 14:12:00,success,permanent,0,Wednesday,13,February,9,2026,58.0,158
TXN100059,C5297,52050.0,credit card,icici,96.0,approved,2.0,2026-05-27 23:54:00,2026-05-28 00:50:00,success,permanent,0,Wednesday,23,May,22,2026,56.0,67
TXN100060,C1995,77079.0,wallet,yes bank,54.0,approved,3.0,2026-07-02 21:36:00,2026-07-02 22:06:00,success,permanent,0,Thursday,21,July,27,2026,30.0,31
TXN100061,C8629,86115.0,debit card,canara,54.0,expired card,0.0,2026-02-20 23:30:00,2026-01-05 19:38:00,success,permanent,0,Friday,23,February,8,2026,-66472.0,163
TXN100062,C2016,28516.0,upi,pnb,0.0,approved,0.0,2026-07-10 02:50:00,2026-01-05 19:38:00,success,permanent,0,Friday,2,July,28,2026,-266832.0,24
TXN100063,C8869,50105.0,credit card,pnb,55.0,invalid amount,0.0,2026-12-08 06:44:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,6,December,50,2026,-484506.0,-127
TXN100064,C7439,8049.0,credit card,canara,55.0,system error,0.0,2026-08-17 19:16:00,2026-01-05 19:38:00,success,permanent,0,Monday,19,August,34,2026,-322538.0,-15
TXN100065,C8892,48342.0,wallet,hdfc,68.0,card declined,4.0,2026-03-28 19:53:00,2026-03-28 20:36:00,success,permanent,0,Saturday,19,March,13,2026,43.0,127
TXN100066,C7863,55096.0,debit card,hdfc,54.0,response timeout,1.0,2026-02-05 18:03:00,2026-02-05 18:20:00,success,permanent,0,Thursday,18,February,6,2026,17.0,178
TXN100067,C8916,55700.0,wallet,pnb,0.0,invalid amount,2.0,2026-10-06 10:00:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,10,October,41,2026,-393982.0,-65
TXN100068,C9529,50105.0,credit card,indusind,54.0,card declined,1.0,2026-05-11 15:18:00,2026-05-11 15:54:00,success,permanent,0,Monday,15,May,20,2026,36.0,83
TXN100069,C1878,92947.0,credit card,bob,51.0,insufficient funds,3.0,2026-03-12 15:46:00,2026-03-12 16:19:00,success,permanent,0,Thursday,15,March,11,2026,33.0,143
TXN100070,C5887,28121.0,net banking,canara,8.0,network error,3.0,2026-12-23 16:43:00,2026-12-23 17:40:00,success,permanent,0,Wednesday,16,December,52,2026,57.0,-143
TXN100071,C5859,64825.0,credit card,axis,55.0,card declined,1.0,2026-09-23 03:37:00,2026-01-05 19:38:00,success,permanent,0,Wednesday,3,September,39,2026,-374879.0,-51
TXN100072,C7331,58271.0,credit card,hdfc,54.0,invalid amount,1.0,2026-08-17 08:42:00,2026-08-17 09:25:00,success,permanent,0,Monday,8,August,34,2026,43.0,-14
TXN100073,C9571,15190.0,wallet,hdfc,54.0,approved,4.0,2026-07-18 08:28:00,2026-07-18 08:54:00,success,permanent,0,Saturday,8,July,29,2026,26.0,16
TXN100074,C9684,11456.0,upi,canara,68.0,invalid amount,0.0,2026-05-30 04:56:00,2026-01-05 19:38:00,failed,permanent,0,Saturday,4,May,22,2026,-207918.0,65
TXN100075,C8208,37033.0,net banking,axis,12.0,network error,3.0,2026-10-13 00:46:00,2026-10-13 01:23:00,success,permanent,0,Tuesday,0,October,42,2026,37.0,-71
TXN100076,C6276,56734.0,net banking,canara,68.0,card declined,1.0,2026-01-22 09:15:00,2026-01-22 10:08:00,success,permanent,0,Thursday,9,January,4,2026,53.0,193
TXN100077,C3062,57401.0,upi,icici,54.0,expired card,2.0,2026-03-08 13:09:00,2026-03-08 14:00:00,failed,temporary,0,Sunday,13,March,10,2026,51.0,147
TXN100078,C1064,66766.0,wallet,hdfc,51.0,card declined,4.0,2026-09-30 23:10:00,2026-09-30 23:14:00,success,permanent,0,Wednesday,23,September,40,2026,4.0,-59
TXN100079,C9006,88925.0,net banking,yes bank,12.0,response timeout,0.0,2026-09-30 00:50:00,2026-01-05 19:38:00,success,permanent,0,Wednesday,0,September,40,2026,-384792.0,-58
TXN100080,C3568,70215.0,upi,pnb,54.0,response timeout,1.0,2026-04-18 22:37:00,2026-04-18 23:18:00,success,permanent,0,Saturday,22,April,16,2026,41.0,106
TXN100081,C6463,38070.0,wallet,axis,96.0,approved,0.0,2026-09-30 12:41:00,2026-01-05 19:38:00,failed,permanent,38070,Wednesday,12,September,40,2026,-385503.0,-59
TXN100082,C3027,72798.0,wallet,indusind,96.0,insufficient funds,1.0,2026-10-02 17:32:00,2026-10-02 18:24:00,success,permanent,0,Friday,17,October,40,2026,52.0,-61
TXN100083,C3695,23934.0,credit card,bob,68.0,response timeout,2.0,2026-09-15 11:24:00,2026-09-15 11:25:00,failed,permanent,23934,Tuesday,11,September,38,2026,1.0,-44
TXN100084,C6258,66702.0,upi,canara,0.0,insufficient funds,3.0,2026-10-06 10:04:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,10,October,41,2026,-393986.0,-65
TXN100085,C6618,80099.0,wallet,icici,96.0,approved,3.0,2026-01-11 03:28:00,2026-01-11 04:19:00,success,permanent,0,Sunday,3,January,2,2026,51.0,204
TXN100086,C7736,50105.0,net banking,icici,8.0,expired card,4.0,2026-05-06 17:17:00,2026-05-06 17:47:00,success,permanent,0,Wednesday,17,May,19,2026,30.0,88
TXN100087,C1391,39970.0,wallet,canara,68.0,insufficient funds,0.0,2026-02-26 05:26:00,2026-01-05 19:38:00,success,permanent,0,Thursday,5,February,9,2026,-74028.0,158
TXN100088,C6892,49121.0,wallet,indusind,8.0,approved,3.0,2026-07-17 03:26:00,2026-07-17 03:27:00,success,permanent,0,Friday,3,July,29,2026,1.0,17
TXN100089,C4561,38497.0,wallet,hdfc,12.0,card declined,4.0,2026-07-22 05:08:00,2026-07-22 05:46:00,success,permanent,0,Wednesday,5,July,30,2026,38.0,12
TXN100090,C7184,98305.0,wallet,axis,8.0,response timeout,0.0,2026-11-29 17:46:00,2026-01-05 19:38:00,success,permanent,0,Sunday,17,November,48,2026,-472208.0,-119
TXN100091,C4099,28891.0,upi,pnb,8.0,card declined,3.0,2026-03-06 23:22:00,2026-03-06 23:23:00,success,permanent,0,Friday,23,March,10,2026,1.0,149
TXN100092,C7278,3026.0,wallet,yes bank,96.0,approved,0.0,2026-10-20 21:26:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,21,October,43,2026,-414828.0,-79
TXN100093,C9392,98704.0,credit card,yes bank,54.0,card declined,1.0,2026-10-31 23:46:00,2026-10-31 23:55:00,success,permanent,0,Saturday,23,October,44,2026,9.0,-90
TXN100094,C4104,50790.0,credit card,axis,51.0,expired card,1.0,2026-07-27 05:52:00,2026-07-27 06:47:00,success,permanent,0,Monday,5,July,31,2026,55.0,7
TXN100095,C8215,16409.0,upi,icici,8.0,insufficient funds,2.0,2026-03-04 15:00:00,2026-03-04 15:55:00,success,permanent,0,Wednesday,15,March,10,2026,55.0,151
TXN100096,C3454,73932.0,net banking,bob,54.0,approved,4.0,2026-09-14 00:09:00,2026-09-14 00:47:00,success,permanent,0,Monday,0,September,38,2026,38.0,-42
TXN100097,C9996,52071.0,credit card,hdfc,12.0,response timeout,2.0,2026-01-06 08:44:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,8,January,2,2026,-786.0,209
TXN100098,C3731,11778.0,net banking,yes bank,54.0,system error,2.0,2026-06-01 05:08:00,2026-06-01 05:47:00,success,permanent,0,Monday,5,June,23,2026,39.0,63
TXN100099,C9154,64765.0,net banking,axis,0.0,card declined,0.0,2026-06-10 14:37:00,2026-01-05 19:38:00,success,permanent,0,Wednesday,14,June,24,2026,-224339.0,53
TXN100100,C6056,91587.0,net banking,axis,96.0,expired card,0.0,2026-12-12 06:09:00,2026-01-05 19:38:00,success,permanent,0,Saturday,6,December,50,2026,-490231.0,-131
TXN100101,C9110,25798.0,debit card,icici,54.0,network error,0.0,2026-05-26 03:40:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,3,May,22,2026,-202082.0,69
TXN100102,C4840,57464.0,upi,yes bank,55.0,system error,0.0,2026-08-23 07:24:00,2026-01-05 19:38:00,success,permanent,0,Sunday,7,August,34,2026,-330466.0,-20
TXN100103,C2028,75757.0,debit card,axis,8.0,approved,4.0,2026-08-27 04:03:00,2026-08-27 04:17:00,success,permanent,0,Thursday,4,August,35,2026,14.0,-24
TXN100104,C8385,51597.0,wallet,icici,12.0,approved,2.0,2026-12-29 07:01:00,2026-12-29 07:40:00,success,permanent,0,Tuesday,7,December,53,2026,39.0,-148
TXN100105,C1502,70522.0,debit card,axis,54.0,expired card,0.0,2026-09-01 06:49:00,2026-01-05 19:38:00,failed,temporary,0,Tuesday,6,September,36,2026,-343391.0,-29
TXN100106,C7910,50497.0,net banking,indusind,54.0,expired card,1.0,2026-10-27 23:53:00,2026-10-28 00:16:00,success,permanent,0,Tuesday,23,October,44,2026,23.0,-86
TXN100107,C7938,61532.0,credit card,axis,68.0,approved,4.0,2026-09-20 03:00:00,2026-09-20 03:35:00,failed,permanent,61532,Sunday,3,September,38,2026,35.0,-48
TXN100108,C5488,81955.0,credit card,indusind,51.0,insufficient funds,4.0,2026-10-13 15:33:00,2026-10-13 16:09:00,success,permanent,0,Tuesday,15,October,42,2026,36.0,-72
TXN100109,C1206,18530.0,upi,axis,8.0,system error,0.0,2026-02-27 05:00:00,2026-01-05 19:38:00,failed,permanent,0,Friday,5,February,9,2026,-75442.0,157
TXN100110,C6134,74051.0,debit card,hdfc,12.0,invalid amount,4.0,2026-03-31 06:30:00,2026-03-31 07:16:00,failed,unknown,0,Tuesday,6,March,14,2026,46.0,125
TXN100111,C6977,48153.0,wallet,canara,54.0,approved,1.0,2026-07-09 07:39:00,2026-01-05 19:38:00,failed,unknown,0,Thursday,7,July,28,2026,-265681.0,25
TXN100112,C8721,96364.0,credit card,axis,96.0,response timeout,1.0,2026-03-07 10:44:00,2026-03-07 11:28:00,success,permanent,0,Saturday,10,March,10,2026,44.0,148
TXN100113,C8035,51932.0,debit card,axis,54.0,system error,1.0,2026-02-21 08:37:00,2026-02-21 09:32:00,success,permanent,0,Saturday,8,February,8,2026,55.0,163
TXN100114,C2484,65473.0,credit card,axis,8.0,card declined,2.0,2026-12-16 22:52:00,2026-01-05 19:38:00,failed,temporary,0,Wednesday,22,December,51,2026,-496994.0,-136
TXN100115,C8858,48171.0,wallet,icici,51.0,approved,3.0,2026-07-27 03:22:00,2026-07-27 04:11:00,failed,temporary,0,Monday,3,July,31,2026,49.0,7
TXN100116,C1863,19671.0,net banking,canara,96.0,expired card,2.0,2026-10-16 21:38:00,2026-10-16 22:07:00,success,permanent,0,Friday,21,October,42,2026,29.0,-75
TXN100117,C3790,56192.0,credit card,axis,55.0,expired card,4.0,2026-01-04 13:45:00,2026-01-04 14:39:00,success,permanent,0,Sunday,13,January,1,2026,54.0,210
TXN100118,C8408,61844.0,credit card,canara,68.0,network error,2.0,2026-07-26 16:30:00,2026-07-26 16:52:00,success,permanent,0,Sunday,16,July,30,2026,22.0,7
TXN100119,C9755,21826.0,wallet,hdfc,8.0,invalid amount,4.0,2026-10-22 02:21:00,2026-10-22 02:59:00,success,permanent,0,Thursday,2,October,43,2026,38.0,-80
TXN100120,C6116,31288.0,net banking,icici,54.0,approved,1.0,2026-12-08 02:17:00,2026-12-08 02:46:00,pending,permanent,0,Tuesday,2,December,50,2026,29.0,-127
TXN100121,C7019,33571.0,wallet,indusind,55.0,system error,2.0,2026-06-30 02:50:00,2026-06-30 03:03:00,failed,unknown,0,Tuesday,2,June,27,2026,13.0,34
TXN100122,C2757,71060.0,upi,pnb,68.0,insufficient funds,4.0,2026-03-31 03:20:00,2026-03-31 04:05:00,success,permanent,0,Tuesday,3,March,14,2026,45.0,125
TXN100123,C8574,57992.0,wallet,icici,54.0,response timeout,0.0,2026-06-25 23:48:00,2026-01-05 19:38:00,success,permanent,0,Thursday,23,June,26,2026,-246490.0,38
TXN100124,C7374,35899.0,debit card,indusind,8.0,approved,3.0,2026-03-12 04:30:00,2026-03-12 04:35:00,success,permanent,0,Thursday,4,March,11,2026,5.0,144
TXN100125,C7892,50105.0,debit card,bob,55.0,response timeout,1.0,2026-07-26 14:01:00,2026-07-26 14:56:00,success,permanent,0,Sunday,14,July,30,2026,55.0,7
TXN100126,C2678,44915.0,wallet,pnb,96.0,network error,0.0,2026-07-03 09:51:00,2026-01-05 19:38:00,success,permanent,0,Friday,9,July,27,2026,-257173.0,31
TXN100127,C4242,98057.0,debit card,bob,0.0,expired card,4.0,2026-02-15 01:09:00,2026-02-15 01:56:00,success,permanent,0,Sunday,1,February,7,2026,47.0,169
TXN100128,C5636,30814.0,upi,hdfc,54.0,card declined,4.0,2026-07-06 07:11:00,2026-07-06 07:43:00,success,permanent,0,Monday,7,July,28,2026,32.0,28
TXN100129,C2059,20248.0,net banking,icici,96.0,network error,4.0,2026-10-05 08:20:00,2026-10-05 09:00:00,success,permanent,0,Monday,8,October,41,2026,40.0,-63
TXN100130,C7668,47998.0,upi,hdfc,0.0,card declined,4.0,2026-11-01 02:36:00,2026-11-01 02:53:00,success,permanent,0,Sunday,2,November,44,2026,17.0,-90
TXN100131,C4157,70941.0,debit card,axis,51.0,insufficient funds,1.0,2026-07-16 22:04:00,2026-07-16 22:37:00,success,permanent,0,Thursday,22,July,29,2026,33.0,17
TXN100132,C6915,74920.0,debit card,axis,8.0,card declined,3.0,2026-11-25 23:36:00,2026-11-26 00:03:00,success,permanent,0,Wednesday,23,November,48,2026,27.0,-115
TXN100133,C3693,71986.0,net banking,bob,0.0,invalid amount,2.0,2026-09-03 22:30:00,2026-01-05 19:38:00,success,permanent,0,Thursday,22,September,36,2026,-347212.0,-32
TXN100134,C4627,22446.0,upi,icici,96.0,card declined,3.0,2026-09-12 22:13:00,2026-09-12 22:38:00,success,permanent,0,Saturday,22,September,37,2026,25.0,-41
TXN100135,C6450,22661.0,upi,bob,0.0,approved,2.0,2026-04-15 18:26:00,2026-04-15 19:09:00,success,permanent,0,Wednesday,18,April,16,2026,43.0,109
TXN100136,C2663,8963.0,debit card,icici,68.0,card declined,1.0,2026-03-28 05:03:00,2026-03-28 05:12:00,success,permanent,0,Saturday,5,March,13,2026,9.0,128
TXN100137,C6592,61509.0,net banking,icici,96.0,approved,1.0,2026-05-12 14:04:00,2026-05-12 14:57:00,success,permanent,0,Tuesday,14,May,20,2026,53.0,82
TXN100138,C8392,91753.0,credit card,hdfc,55.0,response timeout,0.0,2026-01-13 12:31:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,12,January,3,2026,-11093.0,201
TXN100139,C2306,10297.0,debit card,axis,0.0,approved,0.0,2026-08-31 04:30:00,2026-01-05 19:38:00,success,permanent,0,Monday,4,August,36,2026,-341812.0,-28
TXN100140,C7776,14465.0,net banking,pnb,68.0,invalid amount,3.0,2026-03-01 14:17:00,2026-03-01 14:38:00,success,permanent,0,Sunday,14,March,9,2026,21.0,154
TXN100141,C6864,27426.0,upi,bob,12.0,network error,1.0,2026-04-14 16:17:00,2026-04-14 16:21:00,success,permanent,0,Tuesday,16,April,16,2026,4.0,110
TXN100142,C8526,36894.0,net banking,bob,55.0,network error,4.0,2026-09-21 13:04:00,2026-09-21 13:22:00,failed,permanent,0,Monday,13,September,39,2026,18.0,-50
TXN100143,C9901,28787.0,net banking,canara,54.0,approved,0.0,2026-01-18 06:17:00,2026-01-05 19:38:00,success,permanent,0,Sunday,6,January,3,2026,-17919.0,197
TXN100144,C6575,87416.0,wallet,axis,68.0,response timeout,2.0,2026-09-11 14:55:00,2026-09-11 15:09:00,success,permanent,0,Friday,14,September,37,2026,14.0,-40
TXN100145,C6530,87983.0,wallet,bob,55.0,network error,2.0,2026-01-02 06:56:00,2026-01-02 07:44:00,success,permanent,0,Friday,6,January,1,2026,48.0,213
TXN100146,C5413,97849.0,net banking,canara,8.0,network error,4.0,2026-03-31 20:32:00,2026-01-05 19:38:00,success,permanent,0,Tuesday,20,March,14,2026,-122454.0,124
TXN100147,C4748,89207.0,credit card,hdfc,8.0,approved,2.0,2026-06-14 14:28:00,2026-06-14 14:46:00,failed,permanent,89207,Sunday,14,June,24,2026,18.0,49
TXN100148,C1663,93102.0,wallet,canara,55.0,invalid amount,1.0,2026-06-08 06:57:00,2026-06-08 07:32:00,success,permanent,0,Monday,6,June,24,2026,35.0,56
TXN100149,C2998,23158.0,debit card,bob,51.0,invalid amount,4.0,2026-08-29 06:23:00,2026-08-29 06:53:00,success,permanent,0,Saturday,6,August,35,2026,30.0,-26
TXN100150,C8994,50105.0,credit card,hdfc,54.0,invalid amount,2.0,2026-09-28 23:29:00,2026-09-28 23:36:00,success,permanent,0,Monday,23,September,40,2026,7.0,-57
TXN100151,C2495,95319.0,debit card,axis,51.0,approved,3.0,2026-10-08 14:16:00,2026-10-08 14:41:00,failed,permanent,0,Thursday,14,October,41,2026,25.0,-67
