transaction_id,customer_id,amount,payment_method,bank_name,response_code,response_message,retry_count,transaction_time,retry_time,final_status,failure_type,revenue_lost,transaction_time_year,transaction_time_month,transaction_time_day,transaction_time_dayofweek,transaction_time_hour,transaction_time_minute,transaction_time_quarter,transaction_time_week,transaction_time_is_weekend,transaction_time_is_month_start,transaction_time_is_month_end,days_since_first_txn,customer_name,customer_segment,customer_age,account_created_time,customer_txn_count,transaction_score,risk_tier,customer_total_value,customer_avg_transaction,customer_transaction_count,customer_transaction_std,customer_first_date,customer_last_date,calculated_fee,net_amount,calculated_discount,anomaly_flag,anomaly_severity,risk_level
TXN100010,C2685,4800.0,Debit Card,Bank of Baroda,96.0,card declined,3.0,2026-07-21 16:23:00,2026-07-21 16:54,Success,Permanent,0.0,2026,7,21,1,16,23,3,30,0,0,0,0,Customer C2685,Silver,73.0,2025-01-01,1,2.5906006534305104,Low,4800.0,4800.0,1,,2026-07-21 16:23:00,2026-07-21 16:23:00,96.0,4560.0,240.0,Dip,1362842.8164383562,Critical
TXN100011,C1769,5987.0,Wallet,IndusInd Bank,12.0,expired card,2.0,2026-03-24 19:32:00,2026-03-24 19:45,Success,Permanent,0.0,2026,3,24,1,19,32,1,13,0,0,0,0,Customer C1769,Bronze,49.0,2025-01-01,4,27.30655943704448,Low,129684.0,32421.0,4,19246.45,2026-03-24 19:32:00,2026-08-23 17:35:00,179.60999999999999,5687.65,299.35000000000036,Dip,1361655.8164383562,Critical
TXN100012,C7949,96298.0,Credit Card,Bank of Baroda,8.0,response timeout,1.0,2026-05-14 10:53:00,2026-01-05 19:38,Success,Permanent,0.0,2026,5,14,3,10,53,2,20,0,0,0,21,Customer C7949,Bronze,73.0,2025-01-01,3,73.77914048755969,High,227432.0,75810.67,3,19997.47,2026-04-23 03:20:00,2026-10-03 12:13:00,1444.47,91483.09999999999,4814.900000000009,Dip,1271344.8164383562,Critical
TXN100013,C3433,77316.0,Credit Card,Axis Bank,54.0,insufficient funds,3.0,2026-02-09 16:51:00,2026-02-09 17:18,Success,Permanent,0.0,2026,2,9,0,16,51,1,7,0,0,0,0,Customer C3433,Silver,50.0,2025-01-01,3,62.32983161598391,High,218242.0,72747.33,3,18177.82,2026-02-09 16:51:00,2026-11-30 07:21:00,1159.74,73450.2,3865.800000000003,Dip,1290326.8164383562,Critical
TXN100014,C6311,10415.0,UPI,Bank of Baroda,55.0,card declined,0.0,2026-05-03 03:47:00,2026-01-05 19:38,Success,Permanent,0.0,2026,5,3,6,3,47,2,18,1,0,0,103,Customer C6311,Silver,55.0,2025-01-01,3,21.977381251570748,Low,110625.0,36875.0,3,22915.03,2026-01-19 23:33:00,2026-05-03 03:47:00,104.15,8852.75,1562.25,Dip,1357227.8164383562,Critical
TXN100015,C6051,11047.0,Debit Card,Punjab National Bank,0.0,response timeout,2.0,2026-05-27 03:00:00,2026-05-27 03:19,Success,Permanent,0.0,2026,5,27,2,3,0,2,22,0,0,0,0,Customer C6051,Bronze,61.0,2025-01-01,3,22.35858255843177,Low,123232.0,41077.33,3,33072.21,2026-05-27 03:00:00,2026-09-25 13:42:00,220.94,9389.949999999999,1657.050000000001,Dip,1356595.8164383562,Critical
TXN100016,C7420,2959.0,Net Banking,Yes Bank,51.0,insufficient funds,3.0,2026-10-26 12:24:00,2026-10-26 12:53,Success,Permanent,0.0,2026,10,26,0,12,24,4,44,0,0,0,212,Customer C7420,Gold,74.0,2025-01-01,3,17.480170897210357,Low,80706.0,26902.0,3,25436.14,2026-03-27 19:44:00,2026-10-26 12:24:00,73.97500000000001,2959.0,0.0,Dip,1364683.8164383562,Critical
TXN100017,C2184,51370.0,Net Banking,Bank of Baroda,54.0,invalid amount,3.0,2026-11-28 07:23:00,2026-11-28 07:35,Success,Permanent,0.0,2026,11,28,5,7,23,4,48,1,0,0,321,Customer C2184,Bronze,73.0,2025-01-01,5,62.68007036943957,High,237169.0,47433.8,5,26328.67,2026-01-10 17:50:00,2026-11-28 07:23:00,1284.25,51370.0,0.0,Dip,1316272.8164383562,Critical
TXN100018,C5555,50960.0,Credit Card,Punjab National Bank,96.0,approved,4.0,2026-10-03 14:19:00,2026-10-03 15:02,Success,Permanent,0.0,2026,10,3,5,14,19,4,40,1,0,0,106,Customer C5555,Bronze,68.0,2025-01-01,5,62.43277205327973,High,220511.0,44102.2,5,19114.14,2026-06-18 19:02:00,2026-12-30 22:10:00,764.4,43316.0,7644.0,Dip,1316682.8164383562,Critical
TXN100019,C4385,38747.0,UPI,HDFC Bank,96.0,expired card,4.0,2026-11-17 23:41:00,2026-11-18 00:19,Success,Permanent,0.0,2026,11,17,1,23,41,4,47,0,0,0,200,Customer C4385,Silver,66.0,2025-01-01,3,39.06629806484042,Medium,184566.0,61522.0,3,30150.8,2026-05-01 03:43:00,2026-11-17 23:41:00,387.47,36809.65,1937.3499999999985,Dip,1328895.8164383562,Critical
TXN100020,C7396,36077.0,Wallet,Canara Bank,0.0,expired card,2.0,2026-10-07 22:57:00,2026-10-07 23:09,Failed,Temporary,0.0,2026,10,7,2,22,57,4,41,0,0,0,210,Customer C7396,Bronze,51.0,2025-01-01,3,37.45584317667756,Medium,131370.0,43790.0,3,19218.64,2026-03-11 15:51:00,2026-10-07 22:57:00,1082.31,36077.0,0.0,Dip,1331565.8164383562,Critical
TXN100021,C9666,86461.0,UPI,Bank of Baroda,96.0,invalid amount,2.0,2026-08-14 08:31:00,2026-08-14 09:11,Success,Permanent,0.0,2026,8,14,4,8,31,3,33,0,0,0,0,Customer C9666,Bronze,28.0,2025-01-01,2,59.845790399597895,Medium,141544.0,70772.0,2,22187.6,2026-08-14 08:31:00,2026-11-08 03:05:00,864.61,77814.90000000001,8646.099999999991,Dip,1281181.8164383562,Critical
TXN100022,C3558,13963.0,Debit Card,Punjab National Bank,12.0,response timeout,2.0,2026-04-16 02:37:00,2026-01-05 19:38,Success,Permanent,0.0,2026,4,16,3,2,37,2,16,0,0,0,0,Customer C3558,Bronze,48.0,2025-01-01,1,8.117416436290524,Low,13963.0,13963.0,1,,2026-04-16 02:37:00,2026-04-16 02:37:00,279.26,12566.7,1396.2999999999993,Dip,1353679.8164383562,Critical
TXN100023,C8849,41435.0,UPI,Canara Bank,12.0,insufficient funds,1.0,2026-12-19 12:37:00,2026-12-19 13:25,Success,Permanent,0.0,2026,12,19,5,12,37,4,51,1,0,0,249,Customer C8849,Silver,35.0,2025-01-01,3,40.68760995224931,Medium,110196.0,36732.0,3,13646.47,2026-04-13 15:57:00,2026-12-19 12:37:00,414.35,39363.25,2071.75,Dip,1326207.8164383562,Critical
TXN100024,C3047,59096.0,Credit Card,Axis Bank,8.0,card declined,3.0,2026-01-09 00:12:00,2026-01-05 19:38,Success,Permanent,0.0,2026,1,9,4,0,12,1,2,0,0,0,0,Customer C3047,Bronze,40.0,2025-01-01,2,43.34013571249058,Medium,109201.0,54600.5,2,6357.6,2026-01-09 00:12:00,2026-09-29 06:43:00,886.4399999999999,50231.6,8864.400000000001,Dip,1308546.8164383562,Critical
TXN100025,C3747,91445.0,Credit Card,Axis Bank,54.0,expired card,1.0,2026-08-17 20:10:00,2026-08-17 20:12,Success,Permanent,0.0,2026,8,17,0,20,10,3,34,0,0,0,0,Customer C3747,Silver,39.0,2025-01-01,2,62.85197285750188,High,170577.0,85288.5,2,8706.61,2026-08-17 20:10:00,2026-11-13 17:21:00,1371.675,77728.25,13716.75,Dip,1276197.8164383562,Critical
TXN100026,C1189,89501.0,Net Banking,IndusInd Bank,54.0,insufficient funds,4.0,2026-11-29 22:33:00,2026-11-29 22:59,Success,Permanent,0.0,2026,11,29,6,22,33,4,48,1,0,0,0,Customer C1189,Bronze,60.0,2025-01-01,1,53.67941693892938,Medium,89501.0,89501.0,1,,2026-11-29 22:33:00,2026-11-29 22:33:00,2237.525,85025.95,4475.050000000003,Dip,1278141.8164383562,Critical
TXN100027,C3734,87069.0,Wallet,Axis Bank,68.0,network error,3.0,2026-07-12 20:04:00,2026-07-12 20:49,Success,Permanent,0.0,2026,7,12,6,20,4,3,28,1,0,0,0,Customer C3734,Bronze,35.0,2025-01-01,2,60.21251570746418,High,103388.0,51694.0,2,50027.8,2026-07-12 20:04:00,2026-11-14 22:45:00,2612.0699999999997,78362.1,8706.899999999994,Dip,1280573.8164383562,Critical
TXN100028,C4005,67127.0,Credit Card,HDFC Bank,68.0,insufficient funds,3.0,2026-04-14 18:20:00,2026-01-05 19:38,Success,Permanent,0.0,2026,4,14,1,18,20,2,16,0,0,0,59,Customer C4005,Gold,57.0,2025-01-01,2,48.184166876099525,Medium,83032.0,41516.0,2,36219.42,2026-02-13 23:51:00,2026-04-14 18:20:00,1006.905,63770.649999999994,3356.350000000006,Dip,1300515.8164383562,Critical
TXN100029,C5658,28990.0,Credit Card,Bank of Baroda,51.0,card declined,0.0,2026-08-12 04:03:00,2026-01-05 19:38,Success,Permanent,0.0,2026,8,12,2,4,3,3,33,0,0,0,53,Customer C5658,Bronze,64.0,2025-01-01,3,33.18120130686102,Medium,70123.0,23374.33,3,5468.94,2026-06-20 03:13:00,2026-08-21 05:07:00,434.84999999999997,26091.0,2899.0,Dip,1338652.8164383562,Critical
TXN100030,C2899,54306.0,Debit Card,ICICI Bank,0.0,network error,3.0,2026-09-01 01:01:00,2026-09-01 01:47,Failed,Permanent,54306.0,2026,9,1,1,1,1,3,36,0,1,0,0,Customer C2899,Gold,58.0,2025-01-01,1,32.45096757979392,Medium,54306.0,54306.0,1,,2026-09-01 01:01:00,2026-09-01 01:01:00,1086.1200000000001,46160.1,8145.9000000000015,Dip,1313336.8164383562,Critical
TXN100031,C8734,22820.0,Credit Card,Axis Bank,96.0,approved,1.0,2026-02-28 03:22:00,2026-02-28 03:38,Success,Permanent,0.0,2026,2,28,5,3,22,1,9,1,0,1,0,Customer C8734,Bronze,64.0,2025-01-01,3,29.459663231967838,Low,151205.0,50401.67,3,26394.37,2026-02-28 03:22:00,2026-10-09 01:26:00,342.3,20538.0,2282.0,Dip,1344822.8164383562,Critical
TXN100032,C2267,42645.0,Net Banking,Punjab National Bank,68.0,network error,2.0,2026-07-26 02:43:00,2026-07-26 03:41,Success,Permanent,0.0,2026,7,26,6,2,43,3,30,1,0,0,0,Customer C2267,Gold,56.0,2025-01-01,1,25.417441568233222,Low,42645.0,42645.0,1,,2026-07-26 02:43:00,2026-07-26 02:43:00,1066.125,36248.25,6396.75,Dip,1324997.8164383562,Critical
TXN100033,C2528,93061.0,Wallet,Axis Bank,8.0,approved,1.0,2026-02-23 04:01:00,2026-01-05 19:38,Success,Permanent,0.0,2026,2,23,0,4,1,1,9,0,0,0,0,Customer C2528,Bronze,37.0,2025-01-01,1,55.82669012314652,Medium,93061.0,93061.0,1,,2026-02-23 04:01:00,2026-02-23 04:01:00,2791.83,93061.0,0.0,Dip,1274581.8164383562,Critical
TXN100034,C4556,70337.0,Debit Card,IndusInd Bank,51.0,expired card,2.0,2026-12-15 13:21:00,2026-12-15 13:47,Failed,Temporary,0.0,2026,12,15,1,13,21,4,51,0,0,0,0,,,,,1,42.120331741643625,Medium,70337.0,70337.0,1,,2026-12-15 13:21:00,2026-12-15 13:21:00,1406.74,70337.0,0.0,Dip,1297305.8164383562,Critical
TXN100035,C4890,88239.0,UPI,HDFC Bank,0.0,card declined,0.0,2026-07-10 22:50:00,2026-01-05 19:38,Success,Permanent,0.0,2026,7,10,4,22,50,3,28,0,0,0,0,Customer C4890,Bronze,62.0,2025-01-01,1,52.918220658456896,Medium,88239.0,88239.0,1,,2026-07-10 22:50:00,2026-07-10 22:50:00,882.39,79415.1,8823.899999999994,Dip,1279403.8164383562,Critical
TXN100036,C9838,87581.0,UPI,Axis Bank,68.0,invalid amount,3.0,2026-01-24 19:29:00,2026-01-24 19:34,Success,Permanent,0.0,2026,1,24,5,19,29,1,4,1,0,0,0,Customer C9838,Bronze,18.0,2025-01-01,1,52.5213370193516,Medium,87581.0,87581.0,1,,2026-01-24 19:29:00,2026-01-24 19:29:00,875.8100000000001,78822.90000000001,8758.099999999991,Dip,1280061.8164383562,Critical
TXN100037,C6393,61022.0,UPI,IndusInd Bank,51.0,expired card,2.0,2026-12-05 02:51:00,2026-01-05 19:38,Failed,Unknown,0.0,2026,12,5,5,2,51,4,49,1,0,0,207,Customer C6393,Silver,69.0,2025-01-01,2,44.50183463181704,Medium,95954.0,47977.0,2,18448.42,2026-05-11 12:14:00,2026-12-05 02:51:00,610.22,57970.899999999994,3051.100000000006,Dip,1306620.8164383562,Critical
TXN100038,C9792,74592.0,UPI,HDFC Bank,12.0,network error,4.0,2026-04-08 11:33:00,2026-04-08 12:10,Success,Permanent,0.0,2026,4,8,2,11,33,2,15,0,0,0,74,Customer C9792,Bronze,21.0,2025-01-01,3,60.68680573008294,High,175386.0,58462.0,3,13972.04,2026-01-23 17:38:00,2026-09-12 23:02:00,745.92,74592.0,0.0,Dip,1293050.8164383562,Critical
TXN100039,C9433,20602.0,Net Banking,HDFC Bank,55.0,approved,3.0,2026-09-18 14:06:00,2026-09-18 14:51,Pending,Permanent,0.0,2026,9,18,4,14,6,3,38,0,0,0,252,Customer C9433,Bronze,41.0,2025-01-01,4,36.12183965820558,Medium,134522.0,33630.5,4,13329.31,2026-01-08 22:10:00,2026-12-29 02:22:00,515.0500000000001,19571.899999999998,1030.1000000000022,Dip,1347040.8164383562,Critical
TXN100040,C8513,85515.0,Credit Card,Axis Bank,54.0,expired card,0.0,2026-03-20 20:24:00,2026-01-05 19:38,Success,Permanent,0.0,2026,3,20,4,20,24,1,12,0,0,0,0,Customer C8513,Bronze,53.0,2025-01-01,1,51.27519477255592,Medium,85515.0,85515.0,1,,2026-03-20 20:24:00,2026-03-20 20:24:00,1282.725,81239.25,4275.75,Dip,1282127.8164383562,Critical
TXN100041,C3612,50105.0,Debit Card,Axis Bank,54.0,network error,1.0,2026-12-04 23:23:00,2026-12-04 23:38,Success,Permanent,0.0,2026,12,4,4,23,23,4,49,0,0,0,0,Customer C3612,Bronze,53.0,2025-01-01,1,29.917064589092735,Low,50105.0,50105.0,1,,2026-12-04 23:23:00,2026-12-04 23:23:00,1002.1,50105.0,0.0,Dip,1317537.8164383562,Critical
TXN100042,C8041,50105.0,Debit Card,Canara Bank,12.0,invalid amount,3.0,2026-12-17 06:09:00,2026-12-17 06:32,Failed,Temporary,0.0,2026,12,17,3,6,9,4,51,0,0,0,325,Customer C8041,Silver,62.0,2025-01-01,3,45.91706458909274,Medium,114532.0,38177.33,3,21125.21,2026-01-25 23:09:00,2026-12-17 06:09:00,1002.1,47599.75,2505.25,Dip,1317537.8164383562,Critical
TXN100043,C7235,57846.0,UPI,Axis Bank,68.0,invalid amount,0.0,2026-09-17 06:53:00,2026-01-05 19:38,Success,Permanent,0.0,2026,9,17,3,6,53,3,38,0,0,0,0,Customer C7235,Bronze,19.0,2025-01-01,1,34.58617743151545,Medium,57846.0,57846.0,1,,2026-09-17 06:53:00,2026-09-17 06:53:00,578.46,49169.1,8676.900000000001,Dip,1309796.8164383562,Critical
TXN100044,C6486,50562.0,Credit Card,Axis Bank,54.0,approved,3.0,2026-08-06 22:04:00,2026-08-06 22:25,Success,Permanent,0.0,2026,8,6,3,22,4,3,32,0,0,0,111,Customer C6486,Silver,45.0,2025-01-01,2,38.19271173661724,Medium,97178.0,48589.0,2,2790.24,2026-04-17 00:47:00,2026-08-06 22:04:00,758.43,45505.8,5056.199999999997,Dip,1317080.8164383562,Critical
TXN100045,C8099,70267.0,Credit Card,Axis Bank,54.0,approved,3.0,2026-04-04 02:55:00,2026-04-04 03:29,Success,Permanent,0.0,2026,4,4,5,2,55,2,14,1,0,0,70,Customer C8099,Silver,43.0,2025-01-01,5,74.07811007790903,High,233302.0,46660.4,5,35480.99,2026-01-23 04:47:00,2026-11-28 10:30:00,1054.0049999999999,59726.95,10540.050000000003,Dip,1297375.8164383562,Critical
TXN100046,C1775,50105.0,UPI,HDFC Bank,12.0,network error,4.0,2026-07-19 18:19:00,2026-07-19 18:46,Success,Permanent,0.0,2026,7,19,6,18,19,3,29,1,0,0,0,Customer C1775,Silver,40.0,2025-01-01,2,37.91706458909274,Medium,82651.0,41325.5,2,12416.09,2026-07-19 18:19:00,2026-08-21 08:39:00,501.05,42589.25,7515.75,Dip,1317537.8164383562,Critical
TXN100047,C9226,50105.0,UPI,HDFC Bank,8.0,network error,4.0,2026-10-15 16:47:00,2026-10-15 17:07,Success,Permanent,0.0,2026,10,15,3,16,47,4,42,0,0,0,261,Customer C9226,Bronze,32.0,2025-01-01,3,45.91706458909274,Medium,153176.0,51058.67,3,44921.09,2026-01-26 22:28:00,2026-10-15 16:47:00,501.05,45094.5,5010.5,Dip,1317537.8164383562,Critical
TXN100048,C4152,17756.0,Debit Card,HDFC Bank,51.0,insufficient funds,2.0,2026-02-07 12:38:00,2026-02-07 13:16,Success,Permanent,0.0,2026,2,7,5,12,38,1,6,1,0,0,0,Customer C4152,Silver,53.0,2025-01-01,1,10.405227444081426,Low,17756.0,17756.0,1,,2026-02-07 12:38:00,2026-02-07 12:38:00,355.12,17756.0,0.0,Dip,1349886.8164383562,Critical
TXN100049,C2585,34219.0,Net Banking,ICICI Bank,8.0,invalid amount,4.0,2026-08-04 17:53:00,2026-08-04 18:21,Success,Permanent,0.0,2026,8,4,1,17,53,3,32,0,0,0,0,Customer C2585,Gold,44.0,2025-01-01,1,20.33515958783614,Low,34219.0,34219.0,1,,2026-08-04 17:53:00,2026-08-04 17:53:00,855.475,32508.05,1710.9500000000007,Dip,1333423.8164383562,Critical
TXN100050,C4943,30513.0,Net Banking,ICICI Bank,68.0,approved,4.0,2026-06-17 10:25:00,2026-06-17 10:54,Success,Permanent,0.0,2026,6,17,2,10,25,2,25,0,0,0,0,Customer C4943,Silver,23.0,2025-01-01,1,18.099824076401106,Low,30513.0,30513.0,1,,2026-06-17 10:25:00,2026-06-17 10:25:00,762.825,25936.05,4576.950000000001,Dip,1337129.8164383562,Critical
TXN100051,C8555,78848.0,Credit Card,Axis Bank,96.0,system error,2.0,2026-05-05 08:03:00,2026-01-05 19:38,Success,Permanent,0.0,2026,5,5,1,8,3,2,19,0,0,0,0,Customer C8555,Bronze,52.0,2025-01-01,1,47.25388288514702,Medium,78848.0,78848.0,1,,2026-05-05 08:03:00,2026-05-05 08:03:00,1182.72,67020.8,11827.199999999997,Dip,1288794.8164383562,Critical
TXN100052,C4073,50105.0,UPI,Bank of Baroda,68.0,system error,0.0,2026-06-01 11:38:00,2026-01-05 19:38,Success,Permanent,0.0,2026,6,1,0,11,38,2,23,0,1,0,0,Customer C4073,Silver,56.0,2025-01-01,1,29.917064589092735,Low,50105.0,50105.0,1,,2026-06-01 11:38:00,2026-06-01 11:38:00,501.05,47599.75,2505.25,Dip,1317537.8164383562,Critical
TXN100053,C2021,7155.0,Credit Card,Axis Bank,54.0,network error,0.0,2026-10-24 08:48:00,2026-01-05 19:38,Success,Permanent,0.0,2026,10,24,5,8,48,4,43,1,0,0,0,Customer C2021,Silver,55.0,2025-01-01,1,4.011058054787635,Low,7155.0,7155.0,1,,2026-10-24 08:48:00,2026-10-24 08:48:00,107.325,6797.25,357.75,Dip,1360487.8164383562,Critical
TXN100054,C4843,79063.0,Debit Card,Canara Bank,8.0,system error,0.0,2026-12-30 06:47:00,2026-01-05 19:38,Success,Permanent,0.0,2026,12,30,2,6,47,4,53,0,0,0,0,Customer C4843,Silver,52.0,2025-01-01,1,47.38356370947474,Medium,79063.0,79063.0,1,,2026-12-30 06:47:00,2026-12-30 06:47:00,1581.26,67203.55,11859.449999999997,Dip,1288579.8164383562,Critical
TXN100055,C8989,33789.0,Net Banking,Yes Bank,12.0,approved,3.0,2026-10-06 15:03:00,2026-10-06 15:08,Failed,Temporary,0.0,2026,10,6,1,15,3,4,41,0,0,0,125,Customer C8989,Bronze,53.0,2025-01-01,3,36.075797939180696,Medium,115726.0,38575.33,3,9803.88,2026-06-03 14:10:00,2026-10-06 15:03:00,844.725,32099.55,1689.4500000000007,Dip,1333853.8164383562,Critical
TXN100056,C7873,62187.0,Credit Card,HDFC Bank,0.0,expired card,3.0,2026-11-12 01:52:00,2026-11-12 02:38,Success,Permanent,0.0,2026,11,12,3,1,52,4,46,0,0,0,0,Customer C7873,Bronze,27.0,2025-01-01,1,37.204523749685855,Medium,62187.0,62187.0,1,,2026-11-12 01:52:00,2026-11-12 01:52:00,932.805,59077.649999999994,3109.350000000006,Dip,1305455.8164383562,Critical
TXN100057,C6675,72615.0,Wallet,IndusInd Bank,55.0,response timeout,0.0,2026-08-13 21:44:00,2026-01-05 19:38,Success,Permanent,0.0,2026,8,13,3,21,44,3,33,0,0,0,220,Customer C6675,Silver,47.0,2025-01-01,3,59.49434531289268,Medium,206496.0,68832.0,3,4731.31,2026-01-05 13:12:00,2026-11-21 20:54:00,2178.45,61722.75,10892.25,Dip,1295027.8164383562,Critical
TXN100058,C1161,5281.0,Net Banking,Axis Bank,54.0,invalid amount,3.0,2026-02-25 13:14:00,2026-02-25 14:12,Success,Permanent,0.0,2026,2,25,2,13,14,1,9,0,0,0,0,Customer C1161,Bronze,70.0,2025-01-01,2,10.880723799949738,Low,15276.0,7638.0,2,3333.3,2026-02-25 13:14:00,2026-12-19 05:45:00,132.025,5016.95,264.0500000000002,Dip,1362361.8164383562,Critical
TXN100059,C5297,52050.0,Credit Card,ICICI Bank,96.0,approved,2.0,2026-05-27 23:54:00,2026-05-28 00:50,Success,Permanent,0.0,2026,5,27,2,23,54,2,22,0,0,0,0,Customer C5297,Silver,58.0,2025-01-01,1,31.090223674290023,Medium,52050.0,52050.0,1,,2026-05-27 23:54:00,2026-05-27 23:54:00,780.75,49447.5,2602.5,Dip,1315592.8164383562,Critical
TXN100060,C1995,77079.0,Wallet,Yes Bank,54.0,approved,3.0,2026-07-02 21:36:00,2026-07-02 22:06,Success,Permanent,0.0,2026,7,2,3,21,36,3,27,0,0,0,0,Customer C1995,Bronze,55.0,2025-01-01,1,46.18688112591103,Medium,77079.0,77079.0,1,,2026-07-02 21:36:00,2026-07-02 21:36:00,2312.37,65517.15,11561.849999999999,Dip,1290563.8164383562,Critical
TXN100061,C8629,86115.0,Debit Card,Canara Bank,54.0,expired card,0.0,2026-02-20 23:30:00,2026-01-05 19:38,Success,Permanent,0.0,2026,2,20,4,23,30,1,8,0,0,0,0,Customer C8629,Bronze,46.0,2025-01-01,2,59.63709474742398,Medium,136220.0,68110.0,2,25462.92,2026-02-20 23:30:00,2026-03-15 02:12:00,1722.3,81809.25,4305.75,Dip,1281527.8164383562,Critical
