Transaction_ID,Customer_ID,Amount,Payment_Method,Bank_Name,Response_Code,Response_Message,Retry_Count,Transaction_Time,Retry_Time,Final_Status,Failure_Type,Revenue_Lost
TXN100020,C7396,36077.0,Wallet,Canara,0.0,Expired Card,2.0,2026-10-07 22:57,2026-10-07 23:09,Failed,Temporary,0
TXN100021,C9666,86461.0,UPI,BOB,96.0,Invalid Amount,2.0,2026-08-14 08:31,2026-08-14 09:11,Success,No Failure,0
TXN100022,C3558,13963.0,Debit Card,PNB,12.0,Response Timeout,2.0,2026-04-16 02:37,2026-04-16 03:07,Success,No Failure,0
TXN100023,C8849,41435.0,UPI,Canara,12.0,Insufficient Funds,1.0,2026-12-19 12:37,2026-12-19 13:25,Success,No Failure,0
TXN100024,C3047,59096.0,Credit Card,Axis,8.0,Card Declined,3.0,2026-01-09 00:12,2026-01-09 00:42,Success,No Failure,0
TXN100025,C3747,91445.0,Credit Card,Axis,54.0,Expired Card,1.0,2026-08-17 20:10,2026-08-17 20:12,Success,No Failure,0
TXN100026,C1189,89501.0,Net Banking,IndusInd,54.0,Insufficient Funds,4.0,2026-11-29 22:33,2026-11-29 22:59,Success,No Failure,0
TXN100027,C3734,87069.0,Wallet,Axis,68.0,Network Error,3.0,2026-07-12 20:04,2026-07-12 20:49,Success,No Failure,0
TXN100028,C4005,67127.0,Credit Card,HDFC,68.0,Insufficient Funds,3.0,2026-04-14 18:20,2026-04-14 18:50,Success,No Failure,0
TXN100029,C5658,28990.0,Credit Card,BOB,51.0,Card Declined,0.0,2026-08-12 04:03,,Success,No Failure,0
TXN100030,C2899,54306.0,Debit Card,ICICI,0.0,Network Error,3.0,2026-09-01 01:01,2026-09-01 01:47,Failed,Permanent,54306
TXN100031,C8734,22820.0,Credit Card,Axis,96.0,Approved,1.0,2026-02-28 03:22,2026-02-28 03:38,Success,No Failure,0
TXN100032,C2267,42645.0,Net Banking,PNB,68.0,Network Error,2.0,2026-07-26 02:43,2026-07-26 03:41,Success,No Failure,0
TXN100033,C2528,93061.0,Wallet,Axis,8.0,Approved,1.0,2026-02-23 04:01,2026-02-23 04:31,Success,No Failure,0
TXN100034,C4556,70337.0,Debit Card,IndusInd,51.0,Expired Card,2.0,2026-12-15 13:21,2026-12-15 13:47,Failed,Temporary,0
TXN100035,C4890,88239.0,UPI,HDFC,0.0,Card Declined,0.0,2026-07-10 22:50,,Success,No Failure,0
TXN100036,C9838,87581.0,UPI,Axis,68.0,Invalid Amount,3.0,2026-01-24 19:29,2026-01-24 19:34,Success,No Failure,0
TXN100037,C6393,61022.0,UPI,IndusInd,51.0,Expired Card,2.0,2026-12-05 02:51,2026-12-05 03:21,Failed,Unknown,0
TXN100038,C9792,74592.0,UPI,HDFC,12.0,Network Error,4.0,2026-04-08 11:33,2026-04-08 12:10,Success,No Failure,0
TXN100039,C9433,20602.0,Net Banking,HDFC,55.0,Approved,3.0,2026-09-18 14:06,2026-09-18 14:51,Pending,Permanent,0
TXN100040,C8513,85515.0,Credit Card,Axis,54.0,Expired Card,0.0,2026-03-20 20:24,,Success,No Failure,0
TXN100041,C3612,50105.0,Debit Card,Axis,54.0,Network Error,1.0,2026-12-04 23:23,2026-12-04 23:38,Success,No Failure,0
TXN100042,C8041,50105.0,Debit Card,Canara,12.0,Invalid Amount,3.0,2026-12-17 06:09,2026-12-17 06:32,Failed,Temporary,0
TXN100043,C7235,57846.0,UPI,Axis,68.0,Invalid Amount,0.0,2026-09-17 06:53,,Success,No Failure,0
TXN100044,C6486,50562.0,Credit Card,Axis,54.0,Approved,3.0,2026-08-06 22:04,2026-08-06 22:25,Success,No Failure,0
TXN100045,C8099,70267.0,Credit Card,Axis,54.0,Approved,3.0,2026-04-04 02:55,2026-04-04 03:29,Success,No Failure,0
TXN100046,C1775,50105.0,UPI,HDFC,12.0,Network Error,4.0,2026-07-19 18:19,2026-07-19 18:46,Success,No Failure,0
TXN100047,C9226,50105.0,UPI,HDFC,8.0,Network Error,4.0,2026-10-15 16:47,2026-10-15 17:07,Success,No Failure,0
TXN100048,C4152,17756.0,Debit Card,HDFC,51.0,Insufficient Funds,2.0,2026-02-07 12:38,2026-02-07 13:16,Success,No Failure,0
TXN100049,C2585,34219.0,Net Banking,ICICI,8.0,Invalid Amount,4.0,2026-08-04 17:53,2026-08-04 18:21,Success,No Failure,0
TXN100050,C4943,30513.0,Net Banking,ICICI,68.0,Approved,4.0,2026-06-17 10:25,2026-06-17 10:54,Success,No Failure,0
TXN100051,C8555,78848.0,Credit Card,Axis,96.0,System Error,2.0,2026-05-05 08:03,2026-05-05 08:33,Success,No Failure,0
TXN100052,C4073,50105.0,UPI,BOB,68.0,System Error,0.0,2026-06-01 11:38,,Success,No Failure,0
TXN100053,C2021,7155.0,Credit Card,Axis,54.0,Network Error,0.0,2026-10-24 08:48,,Success,No Failure,0
TXN100054,C4843,79063.0,Debit Card,Canara,8.0,System Error,0.0,2026-12-30 06:47,,Success,No Failure,0
TXN100055,C8989,33789.0,Net Banking,Yes Bank,12.0,Approved,3.0,2026-10-06 15:03,2026-10-06 15:08,Failed,Temporary,0
TXN100056,C7873,62187.0,Credit Card,HDFC,0.0,Expired Card,3.0,2026-11-12 01:52,2026-11-12 02:38,Success,No Failure,0
TXN100057,C6675,72615.0,Wallet,IndusInd,55.0,Response Timeout,0.0,2026-08-13 21:44,,Success,No Failure,0
TXN100058,C1161,5281.0,Net Banking,Axis,54.0,Invalid Amount,3.0,2026-02-25 13:14,2026-02-25 14:12,Success,No Failure,0
TXN100059,C5297,52050.0,Credit Card,ICICI,96.0,Approved,2.0,2026-05-27 23:54,2026-05-28 00:50,Success,No Failure,0
TXN100060,C1995,77079.0,Wallet,Yes Bank,54.0,Approved,3.0,2026-07-02 21:36,2026-07-02 22:06,Success,No Failure,0
TXN100061,C8629,86115.0,Debit Card,Canara,54.0,Expired Card,0.0,2026-02-20 23:30,,Success,No Failure,0
TXN100062,C2016,28516.0,UPI,PNB,0.0,Approved,0.0,2026-07-10 02:50,,Success,No Failure,0
TXN100063,C8869,50105.0,Credit Card,PNB,55.0,Invalid Amount,0.0,2026-12-08 06:44,,Success,No Failure,0
TXN100064,C7439,8049.0,Credit Card,Canara,55.0,System Error,0.0,2026-08-17 19:16,,Success,No Failure,0
TXN100065,C8892,48342.0,Wallet,HDFC,68.0,Card Declined,4.0,2026-03-28 19:53,2026-03-28 20:36,Success,No Failure,0
TXN100066,C7863,55096.0,Debit Card,HDFC,54.0,Response Timeout,1.0,2026-02-05 18:03,2026-02-05 18:20,Success,No Failure,0
TXN100067,C8916,55700.0,Wallet,PNB,0.0,Invalid Amount,2.0,2026-10-06 10:00,2026-10-06 10:30,Success,No Failure,0
TXN100068,C9529,50105.0,Credit Card,IndusInd,54.0,Card Declined,1.0,2026-05-11 15:18,2026-05-11 15:54,Success,No Failure,0
TXN100069,C1878,92947.0,Credit Card,BOB,51.0,Insufficient Funds,3.0,2026-03-12 15:46,2026-03-12 16:19,Success,No Failure,0
TXN100070,C5887,28121.0,Net Banking,Canara,8.0,Network Error,3.0,2026-12-23 16:43,2026-12-23 17:40,Success,No Failure,0
TXN100071,C5859,64825.0,Credit Card,Axis,55.0,Card Declined,1.0,2026-09-23 03:37,2026-09-23 04:07,Success,No Failure,0
TXN100072,C7331,58271.0,Credit Card,HDFC,54.0,Invalid Amount,1.0,2026-08-17 08:42,2026-08-17 09:25,Success,No Failure,0
TXN100073,C9571,15190.0,Wallet,HDFC,54.0,Approved,4.0,2026-07-18 08:28,2026-07-18 08:54,Success,No Failure,0
TXN100074,C9684,11456.0,UPI,Canara,68.0,Invalid Amount,0.0,2026-05-30 04:56,,Failed,Permanent,0
TXN100075,C8208,37033.0,Net Banking,Axis,12.0,Network Error,3.0,2026-10-13 00:46,2026-10-13 01:23,Success,No Failure,0
TXN100076,C6276,56734.0,Net Banking,Canara,68.0,Card Declined,1.0,2026-01-22 09:15,2026-01-22 10:08,Success,No Failure,0
TXN100077,C3062,57401.0,UPI,ICICI,54.0,Expired Card,2.0,2026-03-08 13:09,2026-03-08 14:00,Failed,Temporary,0
TXN100078,C1064,66766.0,Wallet,HDFC,51.0,Card Declined,4.0,2026-09-30 23:10,2026-09-30 23:14,Success,No Failure,0
TXN100079,C9006,88925.0,Net Banking,Yes Bank,12.0,Response Timeout,0.0,2026-09-30 00:50,,Success,No Failure,0
TXN100080,C3568,70215.0,UPI,PNB,54.0,Response Timeout,1.0,2026-04-18 22:37,2026-04-18 23:18,Success,No Failure,0
TXN100081,C6463,38070.0,Wallet,Axis,96.0,Approved,0.0,2026-09-30 12:41,,Failed,Permanent,38070
TXN100082,C3027,72798.0,Wallet,IndusInd,96.0,Insufficient Funds,1.0,2026-10-02 17:32,2026-10-02 18:24,Success,No Failure,0
TXN100083,C3695,23934.0,Credit Card,BOB,68.0,Response Timeout,2.0,2026-09-15 11:24,2026-09-15 11:25,Failed,Permanent,23934
TXN100084,C6258,66702.0,UPI,Canara,0.0,Insufficient Funds,3.0,2026-10-06 10:04,2026-10-06 10:34,Success,No Failure,0
TXN100085,C6618,80099.0,Wallet,ICICI,96.0,Approved,3.0,2026-01-11 03:28,2026-01-11 04:19,Success,No Failure,0
TXN100086,C7736,50105.0,Net Banking,ICICI,8.0,Expired Card,4.0,2026-05-06 17:17,2026-05-06 17:47,Success,No Failure,0
TXN100087,C1391,39970.0,Wallet,Canara,68.0,Insufficient Funds,0.0,2026-02-26 05:26,,Success,No Failure,0
TXN100088,C6892,49121.0,Wallet,IndusInd,8.0,Approved,3.0,2026-07-17 03:26,2026-07-17 03:27,Success,No Failure,0
TXN100089,C4561,38497.0,Wallet,HDFC,12.0,Card Declined,4.0,2026-07-22 05:08,2026-07-22 05:46,Success,No Failure,0
TXN100090,C7184,98305.0,Wallet,Axis,8.0,Response Timeout,0.0,2026-11-29 17:46,,Success,No Failure,0
TXN100091,C4099,28891.0,UPI,PNB,8.0,Card Declined,3.0,2026-03-06 23:22,2026-03-06 23:23,Success,No Failure,0
TXN100092,C7278,3026.0,Wallet,Yes Bank,96.0,Approved,0.0,2026-10-20 21:26,,Success,No Failure,0
TXN100093,C9392,98704.0,Credit Card,Yes Bank,54.0,Card Declined,1.0,2026-10-31 23:46,2026-10-31 23:55,Success,No Failure,0
TXN100094,C4104,50790.0,Credit Card,Axis,51.0,Expired Card,1.0,2026-07-27 05:52,2026-07-27 06:47,Success,No Failure,0
TXN100095,C8215,16409.0,UPI,ICICI,8.0,Insufficient Funds,2.0,2026-03-04 15:00,2026-03-04 15:55,Success,No Failure,0
TXN100096,C3454,73932.0,Net Banking,BOB,54.0,Approved,4.0,2026-09-14 00:09,2026-09-14 00:47,Success,No Failure,0
TXN100097,C9996,52071.0,Credit Card,HDFC,12.0,Response Timeout,2.0,2026-01-06 08:44,2026-01-06 09:14,Success,No Failure,0
TXN100098,C3731,11778.0,Net Banking,Yes Bank,54.0,System Error,2.0,2026-06-01 05:08,2026-06-01 05:47,Success,No Failure,0
TXN100099,C9154,64765.0,Net Banking,Axis,0.0,Card Declined,0.0,2026-06-10 14:37,,Success,No Failure,0
TXN100100,C6056,91587.0,Net Banking,Axis,96.0,Expired Card,0.0,2026-12-12 06:09,,Success,No Failure,0
TXN100101,C9110,25798.0,Debit Card,ICICI,54.0,Network Error,0.0,2026-05-26 03:40,,Success,No Failure,0
TXN100102,C4840,57464.0,UPI,Yes Bank,55.0,System Error,0.0,2026-08-23 07:24,,Success,No Failure,0
TXN100103,C2028,75757.0,Debit Card,Axis,8.0,Approved,4.0,2026-08-27 04:03,2026-08-27 04:17,Success,No Failure,0
TXN100104,C8385,51597.0,Wallet,ICICI,12.0,Approved,2.0,2026-12-29 07:01,2026-12-29 07:40,Success,No Failure,0
TXN100105,C1502,70522.0,Debit Card,Axis,54.0,Expired Card,0.0,2026-09-01 06:49,,Failed,Temporary,0
TXN100106,C7910,50497.0,Net Banking,IndusInd,54.0,Expired Card,1.0,2026-10-27 23:53,2026-10-28 00:16,Success,No Failure,0
TXN100107,C7938,61532.0,Credit Card,Axis,68.0,Approved,4.0,2026-09-20 03:00,2026-09-20 03:35,Failed,Permanent,61532
TXN100108,C5488,81955.0,Credit Card,IndusInd,51.0,Insufficient Funds,4.0,2026-10-13 15:33,2026-10-13 16:09,Success,No Failure,0
TXN100109,C1206,18530.0,UPI,Axis,8.0,System Error,0.0,2026-02-27 05:00,,Failed,Permanent,0
TXN100110,C6134,74051.0,Debit Card,HDFC,12.0,Invalid Amount,4.0,2026-03-31 06:30,2026-03-31 07:16,Failed,Unknown,0
TXN100111,C6977,48153.0,Wallet,Canara,54.0,Approved,1.0,2026-07-09 07:39,2026-07-09 08:09,Failed,Unknown,0
TXN100112,C8721,96364.0,Credit Card,Axis,96.0,Response Timeout,1.0,2026-03-07 10:44,2026-03-07 11:28,Success,No Failure,0
TXN100113,C8035,51932.0,Debit Card,Axis,54.0,System Error,1.0,2026-02-21 08:37,2026-02-21 09:32,Success,No Failure,0
TXN100114,C2484,65473.0,Credit Card,Axis,8.0,Card Declined,2.0,2026-12-16 22:52,2026-12-16 23:22,Failed,Temporary,0
TXN100115,C8858,48171.0,Wallet,ICICI,51.0,Approved,3.0,2026-07-27 03:22,2026-07-27 04:11,Failed,Temporary,0
TXN100116,C1863,19671.0,Net Banking,Canara,96.0,Expired Card,2.0,2026-10-16 21:38,2026-10-16 22:07,Success,No Failure,0
TXN100117,C3790,56192.0,Credit Card,Axis,55.0,Expired Card,4.0,2026-01-04 13:45,2026-01-04 14:39,Success,No Failure,0
TXN100118,C8408,61844.0,Credit Card,Canara,68.0,Network Error,2.0,2026-07-26 16:30,2026-07-26 16:52,Success,No Failure,0
TXN100119,C9755,21826.0,Wallet,HDFC,8.0,Invalid Amount,4.0,2026-10-22 02:21,2026-10-22 02:59,Success,No Failure,0
TXN100120,C6116,31288.0,Net Banking,ICICI,54.0,Approved,1.0,2026-12-08 02:17,2026-12-08 02:46,Pending,Permanent,0
TXN100121,C7019,33571.0,Wallet,IndusInd,55.0,System Error,2.0,2026-06-30 02:50,2026-06-30 03:03,Failed,Unknown,0
TXN100122,C2757,71060.0,UPI,PNB,68.0,Insufficient Funds,4.0,2026-03-31 03:20,2026-03-31 04:05,Success,No Failure,0
TXN100123,C8574,57992.0,Wallet,ICICI,54.0,Response Timeout,0.0,2026-06-25 23:48,,Success,No Failure,0
TXN100124,C7374,35899.0,Debit Card,IndusInd,8.0,Approved,3.0,2026-03-12 04:30,2026-03-12 04:35,Success,No Failure,0
TXN100125,C7892,50105.0,Debit Card,BOB,55.0,Response Timeout,1.0,2026-07-26 14:01,2026-07-26 14:56,Success,No Failure,0
TXN100126,C2678,44915.0,Wallet,PNB,96.0,Network Error,0.0,2026-07-03 09:51,,Success,No Failure,0
TXN100127,C4242,98057.0,Debit Card,BOB,0.0,Expired Card,4.0,2026-02-15 01:09,2026-02-15 01:56,Success,No Failure,0
TXN100128,C5636,30814.0,UPI,HDFC,54.0,Card Declined,4.0,2026-07-06 07:11,2026-07-06 07:43,Success,No Failure,0
TXN100129,C2059,20248.0,Net Banking,ICICI,96.0,Network Error,4.0,2026-10-05 08:20,2026-10-05 09:00,Success,No Failure,0
TXN100130,C7668,47998.0,UPI,HDFC,0.0,Card Declined,4.0,2026-11-01 02:36,2026-11-01 02:53,Success,No Failure,0
TXN100131,C4157,70941.0,Debit Card,Axis,51.0,Insufficient Funds,1.0,2026-07-16 22:04,2026-07-16 22:37,Success,No Failure,0
TXN100132,C6915,74920.0,Debit Card,Axis,8.0,Card Declined,3.0,2026-11-25 23:36,2026-11-26 00:03,Success,No Failure,0
TXN100133,C3693,71986.0,Net Banking,BOB,0.0,Invalid Amount,2.0,2026-09-03 22:30,2026-09-03 23:00,Success,No Failure,0
TXN100134,C4627,22446.0,UPI,ICICI,96.0,Card Declined,3.0,2026-09-12 22:13,2026-09-12 22:38,Success,No Failure,0
TXN100135,C6450,22661.0,UPI,BOB,0.0,Approved,2.0,2026-04-15 18:26,2026-04-15 19:09,Success,No Failure,0
TXN100136,C2663,8963.0,Debit Card,ICICI,68.0,Card Declined,1.0,2026-03-28 05:03,2026-03-28 05:12,Success,No Failure,0
TXN100137,C6592,61509.0,Net Banking,ICICI,96.0,Approved,1.0,2026-05-12 14:04,2026-05-12 14:57,Success,No Failure,0
TXN100138,C8392,91753.0,Credit Card,HDFC,55.0,Response Timeout,0.0,2026-01-13 12:31,,Success,No Failure,0
TXN100139,C2306,10297.0,Debit Card,Axis,0.0,Approved,0.0,2026-08-31 04:30,,Success,No Failure,0
TXN100140,C7776,14465.0,Net Banking,PNB,68.0,Invalid Amount,3.0,2026-03-01 14:17,2026-03-01 14:38,Success,No Failure,0
TXN100141,C6864,27426.0,UPI,BOB,12.0,Network Error,1.0,2026-04-14 16:17,2026-04-14 16:21,Success,No Failure,0
TXN100142,C8526,36894.0,Net Banking,BOB,55.0,Network Error,4.0,2026-09-21 13:04,2026-09-21 13:22,Failed,Permanent,0
TXN100143,C9901,28787.0,Net Banking,Canara,54.0,Approved,0.0,2026-01-18 06:17,,Success,No Failure,0
TXN100144,C6575,87416.0,Wallet,Axis,68.0,Response Timeout,2.0,2026-09-11 14:55,2026-09-11 15:09,Success,No Failure,0
TXN100145,C6530,87983.0,Wallet,BOB,55.0,Network Error,2.0,2026-01-02 06:56,2026-01-02 07:44,Success,No Failure,0
TXN100146,C5413,97849.0,Net Banking,Canara,8.0,Network Error,4.0,2026-03-31 20:32,2026-03-31 21:02,Success,No Failure,0
TXN100147,C4748,89207.0,Credit Card,HDFC,8.0,Approved,2.0,2026-06-14 14:28,2026-06-14 14:46,Failed,Permanent,89207
TXN100148,C1663,93102.0,Wallet,Canara,55.0,Invalid Amount,1.0,2026-06-08 06:57,2026-06-08 07:32,Success,No Failure,0
TXN100149,C2998,23158.0,Debit Card,BOB,51.0,Invalid Amount,4.0,2026-08-29 06:23,2026-08-29 06:53,Success,No Failure,0
TXN100150,C8994,50105.0,Credit Card,HDFC,54.0,Invalid Amount,2.0,2026-09-28 23:29,2026-09-28 23:36,Success,No Failure,0
TXN100151,C2495,95319.0,Debit Card,Axis,51.0,Approved,3.0,2026-10-08 14:16,2026-10-08 14:41,Failed,Permanent,0
TXN100152,C4304,66092.0,Credit Card,Axis,68.0,Invalid Amount,4.0,2026-07-03 13:02,2026-07-03 13:32,Success,No Failure,0
TXN100153,C4763,98947.0,Wallet,Yes Bank,68.0,Response Timeout,2.0,2026-05-30 19:35,2026-05-30 20:05,Success,No Failure,0
TXN100154,C6232,92094.0,Debit Card,Axis,96.0,Invalid Amount,1.0,2026-09-18 07:06,2026-09-18 07:14,Failed,Temporary,0
TXN100155,C2853,74098.0,Wallet,Axis,8.0,Network Error,3.0,2026-10-10 14:43,2026-10-10 15:21,Success,No Failure,0
TXN100156,C7585,39245.0,Credit Card,IndusInd,12.0,Expired Card,0.0,2026-11-12 13:11,,Success,No Failure,0
TXN100157,C2291,50105.0,UPI,PNB,96.0,Expired Card,2.0,2026-03-20 14:39,2026-03-20 15:08,Success,No Failure,0
TXN100158,C4581,28079.0,Credit Card,PNB,51.0,Invalid Amount,4.0,2026-06-21 10:52,2026-06-21 11:24,Pending,Permanent,0
TXN100159,C8554,55433.0,Credit Card,ICICI,54.0,Card Declined,1.0,2026-10-10 20:49,2026-10-10 21:40,Success,No Failure,0
TXN100160,C8280,1444.0,Net Banking,HDFC,12.0,System Error,4.0,2026-09-18 21:38,2026-09-18 22:04,Success,No Failure,0
TXN100161,C2636,40346.0,Wallet,ICICI,55.0,Network Error,3.0,2026-05-29 20:49,2026-05-29 21:19,Success,No Failure,0
TXN100162,C4696,33096.0,Credit Card,Axis,0.0,Card Declined,3.0,2026-10-28 14:22,2026-10-28 14:58,Success,No Failure,0
TXN100163,C1698,7407.0,Credit Card,IndusInd,51.0,Expired Card,2.0,2026-02-25 04:14,2026-02-25 04:44,Success,No Failure,0
TXN100164,C5737,50105.0,UPI,HDFC,51.0,Network Error,0.0,2026-10-17 04:34,,Failed,Unknown,0
TXN100165,C1854,50741.0,Net Banking,HDFC,8.0,Invalid Amount,4.0,2026-09-11 20:54,2026-09-11 21:12,Success,No Failure,0
TXN100166,C9164,6547.0,Net Banking,Axis,96.0,System Error,3.0,2026-03-09 05:46,2026-03-09 06:16,Success,No Failure,0
TXN100167,C6855,16847.0,Wallet,BOB,12.0,System Error,3.0,2026-05-12 21:35,2026-05-12 22:15,Success,No Failure,0
TXN100168,C8392,4763.0,Debit Card,Canara,12.0,Response Timeout,2.0,2026-09-06 14:15,2026-09-06 14:45,Success,No Failure,0
TXN100169,C7528,96859.0,Net Banking,Axis,54.0,Expired Card,2.0,2026-11-30 07:19,2026-11-30 07:33,Success,No Failure,0
TXN100170,C6249,76226.0,UPI,IndusInd,54.0,System Error,0.0,2026-04-28 21:18,,Pending,Permanent,0
TXN100171,C6172,28190.0,Credit Card,Axis,55.0,Approved,0.0,2026-02-22 19:27,,Success,No Failure,0
TXN100172,C2707,68046.0,Debit Card,HDFC,96.0,System Error,0.0,2026-12-31 22:04,,Success,No Failure,0
TXN100173,C6791,26967.0,Debit Card,BOB,54.0,Expired Card,1.0,2026-11-06 17:47,2026-11-06 18:38,Success,No Failure,0
TXN100174,C6535,50105.0,Credit Card,PNB,55.0,Network Error,3.0,2026-02-15 04:56,2026-02-15 05:39,Failed,Temporary,0
TXN100175,C5931,48106.0,Credit Card,Axis,51.0,Insufficient Funds,0.0,2026-01-15 18:35,,Success,No Failure,0
TXN100176,C4510,73914.0,Wallet,Canara,68.0,Network Error,2.0,2026-12-25 22:55,2026-12-25 23:51,Success,No Failure,0
TXN100177,C1202,48615.0,Wallet,Axis,54.0,Card Declined,3.0,2026-03-05 11:18,2026-03-05 11:34,Success,No Failure,0
TXN100178,C5218,55107.0,Wallet,IndusInd,96.0,Insufficient Funds,1.0,2026-09-22 03:53,2026-09-22 04:23,Success,No Failure,0
TXN100179,C9958,55421.0,Net Banking,PNB,96.0,Insufficient Funds,0.0,2026-05-13 02:24,,Success,No Failure,0
TXN100180,C5389,40648.0,Credit Card,Axis,54.0,Response Timeout,4.0,2026-04-08 14:20,2026-04-08 14:35,Success,No Failure,0
TXN100181,C3327,91224.0,Debit Card,IndusInd,68.0,Expired Card,3.0,2026-04-18 14:48,2026-04-18 15:10,Success,No Failure,0
TXN100182,C9004,9388.0,Wallet,PNB,51.0,Invalid Amount,3.0,2026-04-19 09:33,2026-04-19 09:44,Success,No Failure,0
TXN100183,C3931,42697.0,Debit Card,Yes Bank,12.0,Expired Card,0.0,2026-05-05 20:40,,Success,No Failure,0
TXN100184,C8777,99441.0,Net Banking,HDFC,0.0,Card Declined,3.0,2026-01-13 17:38,2026-01-13 17:58,Success,No Failure,0
TXN100185,C1197,50105.0,Credit Card,ICICI,0.0,Network Error,3.0,2026-07-04 23:53,2026-07-05 00:44,Success,No Failure,0
TXN100186,C8125,99915.0,Debit Card,BOB,96.0,Card Declined,0.0,2026-06-24 22:15,,Success,No Failure,0
TXN100187,C2930,66758.0,Wallet,Yes Bank,54.0,System Error,3.0,2026-04-11 11:04,2026-04-11 11:26,Success,No Failure,0
TXN100188,C7287,76175.0,Credit Card,Axis,12.0,Network Error,4.0,2026-07-02 17:43,2026-07-02 18:02,Success,No Failure,0
TXN100189,C9800,50105.0,Debit Card,PNB,0.0,System Error,2.0,2026-03-15 18:11,2026-03-15 18:57,Success,No Failure,0
TXN100190,C5282,94116.0,Wallet,Axis,96.0,Expired Card,1.0,2026-06-23 09:25,2026-06-23 09:55,Success,No Failure,0
TXN100191,C3511,18033.0,Net Banking,HDFC,8.0,Approved,4.0,2026-08-14 20:56,2026-08-14 21:25,Failed,Unknown,0
TXN100192,C1659,47447.0,Wallet,BOB,51.0,System Error,1.0,2026-11-01 17:28,2026-11-01 18:15,Success,No Failure,0
TXN100193,C3811,59097.0,Net Banking,ICICI,68.0,Response Timeout,4.0,2026-10-12 21:34,2026-10-12 22:04,Success,No Failure,0
TXN100194,C8098,99113.0,Debit Card,HDFC,51.0,Approved,1.0,2026-08-31 19:08,2026-08-31 20:05,Success,No Failure,0
TXN100195,C7546,4452.0,UPI,Axis,8.0,Card Declined,4.0,2026-08-19 11:52,2026-08-19 12:07,Success,No Failure,0
TXN100196,C2986,50105.0,Wallet,PNB,68.0,System Error,1.0,2026-02-25 05:29,2026-02-25 06:26,Success,No Failure,0
TXN100197,C9338,42960.0,Wallet,ICICI,54.0,Network Error,3.0,2026-01-04 04:05,2026-01-04 04:35,Success,No Failure,0
TXN100198,C3911,87285.0,UPI,PNB,96.0,Response Timeout,2.0,2026-06-10 05:50,2026-06-10 06:47,Success,No Failure,0
