Customer_ID,Customer_Name,Customer_Segment,Customer_Age,Account_Created_Time
C4843,Customer C4843,Silver,52,2025-01-01
C8989,Customer C8989,Bronze,53,2025-01-01
C7873,Customer C7873,Bronze,27,2025-01-01
C6675,Customer C6675,Silver,47,2025-01-01
C1161,Customer C1161,Bronze,70,2025-01-01
C5297,Customer C5297,Silver,58,2025-01-01
C1995,Customer C1995,Bronze,55,2025-01-01
C8629,Customer C8629,Bronze,46,2025-01-01
C2016,Customer C2016,Bronze,69,2025-01-01
C8869,Customer C8869,Bronze,60,2025-01-01
C8892,Customer C8892,Silver,67,2025-01-01
C7863,Customer C7863,Silver,21,2025-01-01
C8916,Customer C8916,Bronze,22,2025-01-01
C9529,Customer C9529,Silver,21,2025-01-01
C1878,Customer C1878,Silver,53,2025-01-01
C5887,Customer C5887,Bronze,62,2025-01-01
C5859,Customer C5859,Bronze,33,2025-01-01
C7331,Customer C7331,Silver,42,2025-01-01
C9571,Customer C9571,Silver,31,2025-01-01
C9684,Customer C9684,Gold,28,2025-01-01
C8208,Customer C8208,Bronze,46,2025-01-01
C6276,Customer C6276,Silver,51,2025-01-01
C3062,Customer C3062,Bronze,39,2025-01-01
C1064,Customer C1064,Bronze,31,2025-01-01
C9006,Customer C9006,Bronze,73,2025-01-01
C3568,Customer C3568,Bronze,41,2025-01-01
C6463,Customer C6463,Bronze,56,2025-01-01
C3027,Customer C3027,Bronze,43,2025-01-01
C3695,Customer C3695,Silver,60,2025-01-01
C6258,Customer C6258,Silver,53,2025-01-01
C6618,Customer C6618,Bronze,56,2025-01-01
C7736,Customer C7736,Gold,33,2025-01-01
C1391,Customer C1391,Bronze,55,2025-01-01
C6892,Customer C6892,Bronze,49,2025-01-01
C4561,Customer C4561,Silver,23,2025-01-01
C7184,Customer C7184,Bronze,51,2025-01-01
C4099,Customer C4099,Bronze,73,2025-01-01
C7278,Customer C7278,Bronze,25,2025-01-01
C9392,Customer C9392,Bronze,47,2025-01-01
C4104,Customer C4104,Silver,44,2025-01-01
C8215,Customer C8215,Bronze,24,2025-01-01
C3454,Customer C3454,Bronze,44,2025-01-01
C9996,Customer C9996,Bronze,42,2025-01-01
C9154,Customer C9154,Bronze,63,2025-01-01
C6056,Customer C6056,Silver,58,2025-01-01
C9110,Customer C9110,Bronze,32,2025-01-01
C4840,Customer C4840,Bronze,42,2025-01-01
C2028,Customer C2028,Bronze,39,2025-01-01
C8385,Customer C8385,Bronze,35,2025-01-01
C1502,Customer C1502,Bronze,29,2025-01-01
C7910,Customer C7910,Bronze,40,2025-01-01
C7938,Customer C7938,Gold,68,2025-01-01
C5488,Customer C5488,Bronze,62,2025-01-01
C1206,Customer C1206,Silver,56,2025-01-01
C6134,Customer C6134,Bronze,42,2025-01-01
C6977,Customer C6977,Bronze,27,2025-01-01
C8721,Customer C8721,Bronze,47,2025-01-01
C8035,Customer C8035,Gold,27,2025-01-01
C2484,Customer C2484,Bronze,51,2025-01-01
C8858,Customer C8858,Bronze,63,2025-01-01
C1863,Customer C1863,Bronze,30,2025-01-01
C3790,Customer C3790,Bronze,71,2025-01-01
C8408,Customer C8408,Bronze,46,2025-01-01
C9755,Customer C9755,Bronze,55,2025-01-01
C6116,Customer C6116,Bronze,58,2025-01-01
C7019,Customer C7019,Bronze,62,2025-01-01
C2757,Customer C2757,Silver,26,2025-01-01
C8574,Customer C8574,Bronze,30,2025-01-01
C7374,Customer C7374,Bronze,54,2025-01-01
C7892,Customer C7892,Bronze,31,2025-01-01
C2678,Customer C2678,Silver,54,2025-01-01
C4242,Customer C4242,Bronze,26,2025-01-01
C5636,Customer C5636,Bronze,25,2025-01-01
C2059,Customer C2059,Bronze,56,2025-01-01
C4157,Customer C4157,Bronze,71,2025-01-01
C6915,Customer C6915,Silver,20,2025-01-01
C3693,Customer C3693,Silver,72,2025-01-01
C4627,Customer C4627,Silver,73,2025-01-01
C6450,Customer C6450,Bronze,64,2025-01-01
C2663,Customer C2663,Bronze,57,2025-01-01
C6592,Customer C6592,Bronze,50,2025-01-01
C8392,Customer C8392,Bronze,49,2025-01-01
C2306,Customer C2306,Bronze,24,2025-01-01
C7776,Customer C7776,Silver,36,2025-01-01
C6864,Customer C6864,Bronze,51,2025-01-01
C8526,Customer C8526,Bronze,31,2025-01-01
C9901,Customer C9901,Bronze,67,2025-01-01
C6575,Customer C6575,Bronze,64,2025-01-01
C6530,Customer C6530,Bronze,63,2025-01-01
C4748,Customer C4748,Bronze,74,2025-01-01
C1663,Customer C1663,Silver,36,2025-01-01
C2998,Customer C2998,Silver,68,2025-01-01
C8994,Customer C8994,Silver,71,2025-01-01
C2495,Customer C2495,Bronze,43,2025-01-01
C4304,Customer C4304,Bronze,34,2025-01-01
C4763,Customer C4763,Bronze,71,2025-01-01
C6232,Customer C6232,Silver,45,2025-01-01
C2853,Customer C2853,Bronze,36,2025-01-01
C7585,Customer C7585,Silver,44,2025-01-01
C2291,Customer C2291,Bronze,65,2025-01-01
C4581,Customer C4581,Bronze,69,2025-01-01
C8554,Customer C8554,Bronze,74,2025-01-01
C4696,Customer C4696,Silver,68,2025-01-01
C1698,Customer C1698,Silver,24,2025-01-01
C5737,Customer C5737,Silver,46,2025-01-01
C1854,Customer C1854,Silver,72,2025-01-01
C9164,Customer C9164,Silver,60,2025-01-01
C6855,Customer C6855,Bronze,22,2025-01-01
C7528,Customer C7528,Silver,47,2025-01-01
C6249,Customer C6249,Bronze,66,2025-01-01
C6172,Customer C6172,Bronze,60,2025-01-01
C2707,Customer C2707,Silver,73,2025-01-01
C6791,Customer C6791,Bronze,25,2025-01-01
C6535,Customer C6535,Bronze,59,2025-01-01
C5931,Customer C5931,Bronze,29,2025-01-01
C4510,Customer C4510,Bronze,59,2025-01-01
C1202,Customer C1202,Gold,30,2025-01-01
C5218,Customer C5218,Bronze,43,2025-01-01
C9958,Customer C9958,Bronze,35,2025-01-01
C5389,Customer C5389,Bronze,59,2025-01-01
C3327,Customer C3327,Bronze,68,2025-01-01
C9004,Customer C9004,Gold,69,2025-01-01
C3931,Customer C3931,Bronze,66,2025-01-01
C8777,Customer C8777,Bronze,37,2025-01-01
C1197,Customer C1197,Silver,33,2025-01-01
C8125,Customer C8125,Gold,54,2025-01-01
C2930,Customer C2930,Silver,20,2025-01-01
C7287,Customer C7287,Silver,44,2025-01-01
C9800,Customer C9800,Bronze,32,2025-01-01
C3511,Customer C3511,Bronze,62,2025-01-01
C1659,Customer C1659,Silver,39,2025-01-01
C3811,Customer C3811,Bronze,57,2025-01-01
C8098,Customer C8098,Bronze,40,2025-01-01
C7546,Customer C7546,Bronze,66,2025-01-01
C2986,Customer C2986,Bronze,21,2025-01-01
C9338,Customer C9338,Bronze,68,2025-01-01
C2734,Customer C2734,Bronze,74,2025-01-01
C2843,Customer C2843,Silver,58,2025-01-01
C3976,Customer C3976,Bronze,64,2025-01-01
C6759,Customer C6759,Bronze,41,2025-01-01
C7694,Customer C7694,Bronze,38,2025-01-01
C3385,Customer C3385,Silver,58,2025-01-01
C2802,Customer C2802,Bronze,72,2025-01-01
C9155,Customer C9155,Bronze,70,2025-01-01
C9120,Customer C9120,Gold,33,2025-01-01
C7616,Customer C7616,Silver,73,2025-01-01
C6534,Customer C6534,Silver,72,2025-01-01
C5061,Customer C5061,Silver,42,2025-01-01
C1262,Customer C1262,Bronze,43,2025-01-01
C9815,Customer C9815,Silver,66,2025-01-01
C3049,Customer C3049,Bronze,62,2025-01-01
C6423,Customer C6423,Silver,26,2025-01-01
C5548,Customer C5548,Silver,32,2025-01-01
C4108,Customer C4108,Bronze,56,2025-01-01
C8158,Customer C8158,Silver,50,2025-01-01
C8400,Customer C8400,Gold,18,2025-01-01
C4170,Customer C4170,Bronze,22,2025-01-01
C3255,Customer C3255,Silver,73,2025-01-01
C2154,Customer C2154,Bronze,26,2025-01-01
C5499,Customer C5499,Bronze,61,2025-01-01
C7295,Customer C7295,Bronze,23,2025-01-01
C7197,Customer C7197,Bronze,45,2025-01-01
C2648,Customer C2648,Gold,62,2025-01-01
C6539,Customer C6539,Silver,43,2025-01-01
C5199,Customer C5199,Silver,45,2025-01-01
C9445,Customer C9445,Bronze,57,2025-01-01
C3557,Customer C3557,Gold,32,2025-01-01
C1098,Customer C1098,Bronze,23,2025-01-01
C3200,Customer C3200,Silver,44,2025-01-01
C3961,Customer C3961,Bronze,55,2025-01-01
C5973,Customer C5973,Bronze,21,2025-01-01
C5433,Customer C5433,Silver,28,2025-01-01
C3869,Customer C3869,Bronze,38,2025-01-01
C1956,Customer C1956,Bronze,47,2025-01-01
C9352,Customer C9352,Bronze,35,2025-01-01
C6699,Customer C6699,Bronze,52,2025-01-01
C5493,Customer C5493,Bronze,29,2025-01-01
C5911,Customer C5911,Bronze,44,2025-01-01
C4987,Customer C4987,Bronze,70,2025-01-01
C7015,Customer C7015,Silver,47,2025-01-01
C2218,Customer C2218,Bronze,38,2025-01-01
C5496,Customer C5496,Gold,55,2025-01-01
C5735,Customer C5735,Silver,38,2025-01-01
C9050,Customer C9050,Bronze,55,2025-01-01
C4446,Customer C4446,Silver,57,2025-01-01
C2045,Customer C2045,Silver,32,2025-01-01
C7893,Customer C7893,Gold,35,2025-01-01
C4436,Customer C4436,Bronze,46,2025-01-01
C9754,Customer C9754,Silver,65,2025-01-01
C6895,Customer C6895,Silver,55,2025-01-01
C4354,Customer C4354,Silver,38,2025-01-01
C1225,Customer C1225,Bronze,34,2025-01-01
C5893,Customer C5893,Silver,58,2025-01-01
C8022,Customer C8022,Gold,68,2025-01-01
C6600,Customer C6600,Bronze,35,2025-01-01
C8683,Customer C8683,Bronze,72,2025-01-01
C5642,Customer C5642,Silver,54,2025-01-01
C8679,Customer C8679,Silver,55,2025-01-01
C9208,Customer C9208,Silver,29,2025-01-01
C8339,Customer C8339,Bronze,28,2025-01-01
C3205,Customer C3205,Bronze,65,2025-01-01
C2069,Customer C2069,Bronze,69,2025-01-01
C4444,Customer C4444,Bronze,66,2025-01-01
C2060,Customer C2060,Silver,37,2025-01-01
C4420,Customer C4420,Gold,26,2025-01-01
C1301,Customer C1301,Gold,18,2025-01-01
C1606,Customer C1606,Gold,20,2025-01-01
C1699,Customer C1699,Bronze,38,2025-01-01
C6088,Customer C6088,Bronze,40,2025-01-01
C1190,Customer C1190,Silver,26,2025-01-01
C1980,Customer C1980,Gold,71,2025-01-01
C3975,Customer C3975,Bronze,36,2025-01-01
C7102,Customer C7102,Bronze,62,2025-01-01
C4327,Customer C4327,Bronze,72,2025-01-01
C4394,Customer C4394,Silver,63,2025-01-01
C9319,Customer C9319,Bronze,69,2025-01-01
C2816,Customer C2816,Bronze,36,2025-01-01
C6854,Customer C6854,Bronze,40,2025-01-01
C7709,Customer C7709,Bronze,44,2025-01-01
C1569,Customer C1569,Silver,44,2025-01-01
C6442,Customer C6442,Bronze,56,2025-01-01
C2895,Customer C2895,Silver,53,2025-01-01
C3733,Customer C3733,Silver,29,2025-01-01
C4863,Customer C4863,Silver,72,2025-01-01
C8455,Customer C8455,Bronze,44,2025-01-01
C5014,Customer C5014,Gold,63,2025-01-01
C2686,Customer C2686,Bronze,51,2025-01-01
C4009,Customer C4009,Gold,50,2025-01-01
C8806,Customer C8806,Gold,45,2025-01-01
C1154,Customer C1154,Bronze,48,2025-01-01
C2409,Customer C2409,Bronze,49,2025-01-01
C1784,Customer C1784,Bronze,67,2025-01-01
C9096,Customer C9096,Bronze,37,2025-01-01
C8560,Customer C8560,Bronze,57,2025-01-01
C8343,Customer C8343,Bronze,52,2025-01-01
C8206,Customer C8206,Bronze,48,2025-01-01
C6596,Customer C6596,Bronze,48,2025-01-01
C6801,Customer C6801,Bronze,55,2025-01-01
C3806,Customer C3806,Bronze,39,2025-01-01
C1537,Customer C1537,Bronze,62,2025-01-01
C6986,Customer C6986,Bronze,58,2025-01-01
C2841,Customer C2841,Bronze,26,2025-01-01
C9716,Customer C9716,Bronze,69,2025-01-01
C7971,Customer C7971,Silver,26,2025-01-01
C6625,Customer C6625,Bronze,32,2025-01-01
C3950,Customer C3950,Bronze,30,2025-01-01
C8992,Customer C8992,Bronze,39,2025-01-01
C5780,Customer C5780,Silver,33,2025-01-01
C3368,Customer C3368,Silver,49,2025-01-01
C7655,Customer C7655,Silver,19,2025-01-01
C9173,Customer C9173,Silver,43,2025-01-01
C5495,Customer C5495,Bronze,31,2025-01-01
C7002,Customer C7002,Bronze,55,2025-01-01
C7614,Customer C7614,Bronze,51,2025-01-01
C6919,Customer C6919,Gold,25,2025-01-01
C1853,Customer C1853,Silver,53,2025-01-01
C5146,Customer C5146,Silver,38,2025-01-01
C4769,Customer C4769,Bronze,73,2025-01-01
C1574,Customer C1574,Silver,63,2025-01-01
C2148,Customer C2148,Bronze,60,2025-01-01
C7293,Customer C7293,Bronze,73,2025-01-01
C7457,Customer C7457,Bronze,45,2025-01-01
C8509,Customer C8509,Bronze,63,2025-01-01
C5777,Customer C5777,Bronze,61,2025-01-01
C4854,Customer C4854,Silver,65,2025-01-01
C3491,Customer C3491,Bronze,23,2025-01-01
C4124,Customer C4124,Bronze,37,2025-01-01
C6691,Customer C6691,Bronze,48,2025-01-01
C4051,Customer C4051,Bronze,50,2025-01-01
C6222,Customer C6222,Silver,24,2025-01-01
C6315,Customer C6315,Silver,25,2025-01-01
C5869,Customer C5869,Silver,26,2025-01-01
C1876,Customer C1876,Silver,19,2025-01-01
C8027,Customer C8027,Bronze,34,2025-01-01
C5142,Customer C5142,Silver,69,2025-01-01
C7966,Customer C7966,Bronze,62,2025-01-01
C8079,Customer C8079,Bronze,54,2025-01-01
C8987,Customer C8987,Bronze,59,2025-01-01
C7799,Customer C7799,Silver,61,2025-01-01
C5465,Customer C5465,Silver,34,2025-01-01
C1635,Customer C1635,Bronze,70,2025-01-01
C5752,Customer C5752,Silver,55,2025-01-01
C9311,Customer C9311,Gold,52,2025-01-01
C1830,Customer C1830,Bronze,64,2025-01-01
C6177,Customer C6177,Bronze,56,2025-01-01
C9932,Customer C9932,Silver,47,2025-01-01
C9308,Customer C9308,Bronze,23,2025-01-01
C6949,Customer C6949,Silver,21,2025-01-01
C3838,Customer C3838,Bronze,68,2025-01-01
C2150,Customer C2150,Bronze,54,2025-01-01
C2931,Customer C2931,Silver,52,2025-01-01
C2664,Customer C2664,Silver,74,2025-01-01
C2081,Customer C2081,Silver,26,2025-01-01
C1512,Customer C1512,Silver,23,2025-01-01
C8805,Customer C8805,Silver,30,2025-01-01
C6237,Customer C6237,Silver,39,2025-01-01
C1559,Customer C1559,Bronze,45,2025-01-01
C4672,Customer C4672,Bronze,47,2025-01-01
C8404,Customer C8404,Bronze,69,2025-01-01
C4343,Customer C4343,Silver,53,2025-01-01
C5070,Customer C5070,Bronze,19,2025-01-01
C1580,Customer C1580,Bronze,53,2025-01-01
C8004,Customer C8004,Bronze,25,2025-01-01
C9130,Customer C9130,Silver,62,2025-01-01
C4147,Customer C4147,Silver,59,2025-01-01
C5249,Customer C5249,Bronze,67,2025-01-01
C2679,Customer C2679,Silver,26,2025-01-01
C4506,Customer C4506,Bronze,18,2025-01-01
C8253,Customer C8253,Bronze,30,2025-01-01
C3744,Customer C3744,Silver,67,2025-01-01
C3141,Customer C3141,Gold,49,2025-01-01
C7617,Customer C7617,Bronze,51,2025-01-01
C3479,Customer C3479,Bronze,60,2025-01-01
C7484,Customer C7484,Gold,48,2025-01-01
C8421,Customer C8421,Bronze,31,2025-01-01
C5452,Customer C5452,Gold,71,2025-01-01
C6881,Customer C6881,Gold,64,2025-01-01
C7665,Customer C7665,Bronze,31,2025-01-01
C3849,Customer C3849,Bronze,65,2025-01-01
C8390,Customer C8390,Bronze,72,2025-01-01
C7905,Customer C7905,Bronze,46,2025-01-01
C5611,Customer C5611,Bronze,36,2025-01-01
C3839,Customer C3839,Bronze,44,2025-01-01
C9527,Customer C9527,Bronze,26,2025-01-01
C6878,Customer C6878,Gold,54,2025-01-01
C7303,Customer C7303,Silver,54,2025-01-01
C1851,Customer C1851,Silver,60,2025-01-01
C2687,Customer C2687,Bronze,45,2025-01-01
C7833,Customer C7833,Silver,69,2025-01-01
C3427,Customer C3427,Bronze,74,2025-01-01
C5000,Customer C5000,Silver,41,2025-01-01
C6052,Customer C6052,Gold,45,2025-01-01
C3738,Customer C3738,Bronze,53,2025-01-01
C6732,Customer C6732,Silver,69,2025-01-01
C6387,Customer C6387,Silver,35,2025-01-01
C9002,Customer C9002,Gold,42,2025-01-01
C6536,Customer C6536,Silver,52,2025-01-01
C4913,Customer C4913,Bronze,21,2025-01-01
C2066,Customer C2066,Bronze,31,2025-01-01
C8723,Customer C8723,Bronze,56,2025-01-01
C5380,Customer C5380,Silver,43,2025-01-01
C5107,Customer C5107,Bronze,25,2025-01-01
C6726,Customer C6726,Silver,41,2025-01-01
C4373,Customer C4373,Bronze,33,2025-01-01
C9945,Customer C9945,Bronze,37,2025-01-01
C3082,Customer C3082,Bronze,32,2025-01-01
C9967,Customer C9967,Silver,24,2025-01-01
C7748,Customer C7748,Bronze,34,2025-01-01
C1417,Customer C1417,Bronze,39,2025-01-01
C9306,Customer C9306,Bronze,39,2025-01-01
C9808,Customer C9808,Bronze,71,2025-01-01
C4974,Customer C4974,Bronze,29,2025-01-01
C4267,Customer C4267,Silver,35,2025-01-01
C1825,Customer C1825,Bronze,73,2025-01-01
C8668,Customer C8668,Bronze,63,2025-01-01
C6745,Customer C6745,Silver,64,2025-01-01
C1412,Customer C1412,Gold,32,2025-01-01
C8543,Customer C8543,Silver,54,2025-01-01
C8587,Customer C8587,Bronze,33,2025-01-01
C1728,Customer C1728,Silver,22,2025-01-01
C8164,Customer C8164,Gold,19,2025-01-01
C9867,Customer C9867,Silver,69,2025-01-01
C6988,Customer C6988,Bronze,45,2025-01-01
C3504,Customer C3504,Bronze,74,2025-01-01
C3967,Customer C3967,Silver,58,2025-01-01
C3786,Customer C3786,Bronze,71,2025-01-01
C2122,Customer C2122,Bronze,44,2025-01-01
C5079,Customer C5079,Silver,48,2025-01-01
C2571,Customer C2571,Silver,58,2025-01-01
C6073,Customer C6073,Bronze,53,2025-01-01
C6104,Customer C6104,Silver,64,2025-01-01
C3143,Customer C3143,Bronze,60,2025-01-01
C7806,Customer C7806,Bronze,18,2025-01-01
C8357,Customer C8357,Silver,67,2025-01-01
C4440,Customer C4440,Bronze,46,2025-01-01
C4766,Customer C4766,Bronze,18,2025-01-01
C6644,Customer C6644,Gold,25,2025-01-01
C3914,Customer C3914,Bronze,74,2025-01-01
C5968,Customer C5968,Bronze,33,2025-01-01
C6917,Customer C6917,Gold,45,2025-01-01
C9787,Customer C9787,Silver,39,2025-01-01
C2365,Customer C2365,Silver,35,2025-01-01
C5492,Customer C5492,Silver,39,2025-01-01
C8186,Customer C8186,Bronze,58,2025-01-01
C1395,Customer C1395,Silver,29,2025-01-01
C9082,Customer C9082,Bronze,36,2025-01-01
C5171,Customer C5171,Silver,42,2025-01-01
C5360,Customer C5360,Bronze,67,2025-01-01
C3502,Customer C3502,Silver,22,2025-01-01
C1717,Customer C1717,Bronze,51,2025-01-01
C3782,Customer C3782,Bronze,56,2025-01-01
C5946,Customer C5946,Silver,27,2025-01-01
C9335,Customer C9335,Silver,64,2025-01-01
C5980,Customer C5980,Silver,74,2025-01-01
C8266,Customer C8266,Bronze,24,2025-01-01
C8192,Customer C8192,Silver,64,2025-01-01
C6588,Customer C6588,Silver,69,2025-01-01
C8651,Customer C8651,Silver,69,2025-01-01
C4636,Customer C4636,Gold,32,2025-01-01
C2167,Customer C2167,Silver,59,2025-01-01
C2062,Customer C2062,Bronze,41,2025-01-01
C3156,Customer C3156,Silver,43,2025-01-01
C6161,Customer C6161,Silver,63,2025-01-01
C6305,Customer C6305,Silver,43,2025-01-01
C7541,Customer C7541,Silver,27,2025-01-01
C5729,Customer C5729,Bronze,34,2025-01-01
C8330,Customer C8330,Bronze,70,2025-01-01
C6334,Customer C6334,Bronze,31,2025-01-01
C9924,Customer C9924,Gold,19,2025-01-01
C5330,Customer C5330,Silver,65,2025-01-01
C9010,Customer C9010,Bronze,30,2025-01-01
C7801,Customer C7801,Gold,44,2025-01-01
C5846,Customer C5846,Bronze,26,2025-01-01
C7731,Customer C7731,Bronze,24,2025-01-01
C8241,Customer C8241,Silver,65,2025-01-01
C3539,Customer C3539,Bronze,73,2025-01-01
C8056,Customer C8056,Bronze,71,2025-01-01
C2542,Customer C2542,Bronze,26,2025-01-01
C2191,Customer C2191,Bronze,40,2025-01-01
C7313,Customer C7313,Bronze,24,2025-01-01
C3681,Customer C3681,Bronze,65,2025-01-01
C2540,Customer C2540,Bronze,26,2025-01-01
C7172,Customer C7172,Bronze,44,2025-01-01
C6541,Customer C6541,Bronze,41,2025-01-01
C9691,Customer C9691,Silver,46,2025-01-01
C9702,Customer C9702,Silver,34,2025-01-01
C8494,Customer C8494,Bronze,37,2025-01-01
C2324,Customer C2324,Bronze,60,2025-01-01
C4141,Customer C4141,Bronze,57,2025-01-01
C8419,Customer C8419,Bronze,24,2025-01-01
C4486,Customer C4486,Bronze,45,2025-01-01
C2810,Customer C2810,Bronze,36,2025-01-01
C7588,Customer C7588,Silver,37,2025-01-01
C3923,Customer C3923,Bronze,61,2025-01-01
C6301,Customer C6301,Bronze,56,2025-01-01
C5186,Customer C5186,Silver,57,2025-01-01
C9905,Customer C9905,Bronze,24,2025-01-01
C5268,Customer C5268,Bronze,23,2025-01-01
C5748,Customer C5748,Bronze,42,2025-01-01
C5849,Customer C5849,Bronze,58,2025-01-01
C4709,Customer C4709,Silver,30,2025-01-01
C7619,Customer C7619,Bronze,56,2025-01-01
C9647,Customer C9647,Bronze,57,2025-01-01
C4072,Customer C4072,Bronze,39,2025-01-01
C7530,Customer C7530,Bronze,66,2025-01-01
C1504,Customer C1504,Silver,34,2025-01-01
C2214,Customer C2214,Silver,65,2025-01-01
C2531,Customer C2531,Bronze,39,2025-01-01
C8576,Customer C8576,Bronze,51,2025-01-01
C1823,Customer C1823,Bronze,25,2025-01-01
C1928,Customer C1928,Silver,66,2025-01-01
C6029,Customer C6029,Bronze,62,2025-01-01
C1133,Customer C1133,Bronze,35,2025-01-01
C3105,Customer C3105,Bronze,41,2025-01-01
C7316,Customer C7316,Bronze,71,2025-01-01
C2852,Customer C2852,Bronze,59,2025-01-01
C5910,Customer C5910,Bronze,19,2025-01-01
C5175,Customer C5175,Bronze,19,2025-01-01
C6348,Customer C6348,Bronze,44,2025-01-01
C7190,Customer C7190,Bronze,31,2025-01-01
C2256,Customer C2256,Silver,65,2025-01-01
C4376,Customer C4376,Bronze,56,2025-01-01
C6645,Customer C6645,Bronze,70,2025-01-01
C4584,Customer C4584,Silver,70,2025-01-01
C9053,Customer C9053,Bronze,73,2025-01-01
C4330,Customer C4330,Silver,29,2025-01-01
C3703,Customer C3703,Silver,49,2025-01-01
C9662,Customer C9662,Bronze,45,2025-01-01
C8114,Customer C8114,Gold,72,2025-01-01
C2353,Customer C2353,Bronze,45,2025-01-01
C6063,Customer C6063,Bronze,63,2025-01-01
C9549,Customer C9549,Bronze,42,2025-01-01
C8575,Customer C8575,Bronze,21,2025-01-01
C1667,Customer C1667,Silver,43,2025-01-01
C5468,Customer C5468,Silver,53,2025-01-01
C7819,Customer C7819,Silver,67,2025-01-01
C4719,Customer C4719,Gold,20,2025-01-01
C3745,Customer C3745,Silver,18,2025-01-01
C8483,Customer C8483,Silver,34,2025-01-01
C1539,Customer C1539,Bronze,24,2025-01-01
C5964,Customer C5964,Bronze,65,2025-01-01
C5835,Customer C5835,Bronze,22,2025-01-01
C4775,Customer C4775,Silver,36,2025-01-01
C7042,Customer C7042,Bronze,56,2025-01-01
C8102,Customer C8102,Bronze,63,2025-01-01
C8312,Customer C8312,Bronze,51,2025-01-01
C6320,Customer C6320,Bronze,52,2025-01-01
C8891,Customer C8891,Bronze,33,2025-01-01
C3779,Customer C3779,Silver,57,2025-01-01
C1924,Customer C1924,Bronze,67,2025-01-01
C2581,Customer C2581,Silver,64,2025-01-01
C8714,Customer C8714,Bronze,56,2025-01-01
C4324,Customer C4324,Bronze,44,2025-01-01
C6713,Customer C6713,Bronze,58,2025-01-01
C8026,Customer C8026,Bronze,55,2025-01-01
C1255,Customer C1255,Bronze,67,2025-01-01
C5804,Customer C5804,Bronze,67,2025-01-01
C2838,Customer C2838,Bronze,42,2025-01-01
C1009,Customer C1009,Bronze,43,2025-01-01
C3871,Customer C3871,Bronze,73,2025-01-01
C9989,Customer C9989,Silver,31,2025-01-01
C8409,Customer C8409,Silver,31,2025-01-01
C8418,Customer C8418,Bronze,31,2025-01-01
C6124,Customer C6124,Gold,42,2025-01-01
C2015,Customer C2015,Bronze,53,2025-01-01
C3193,Customer C3193,Silver,21,2025-01-01
C9415,Customer C9415,Silver,64,2025-01-01
C8449,Customer C8449,Silver,32,2025-01-01
C5158,Customer C5158,Bronze,49,2025-01-01
C4925,Customer C4925,Bronze,35,2025-01-01
C7970,Customer C7970,Bronze,31,2025-01-01
C5784,Customer C5784,Bronze,18,2025-01-01
C2633,Customer C2633,Bronze,59,2025-01-01
